station,n,mae_tmax,mae_tmin,bias_tmax,bias_tmin,rmse_tmax,rmse_tmin,max_delta_tmax,max_delta_tmin
TEXELHORS WP,3,13.52337256673161,3.811936678059889,8.703037898762963,-3.1546095133462964,16.459554160588585,6.050456948333237,26.786764477538725,10.449819287109278
ROTTERDAM THE HAGUE AP,3,11.614786668888334,11.9641462440462,-9.37962762956865,-11.9641462440462,13.035631761544142,12.625297708130685,16.903636211708942,16.316452000898437
CADZAND WP,3,10.968767712239526,17.360995502929825,-10.968767712239526,-17.360995502929825,11.141129055259881,18.824490728875542,13.719735119140635,27.48085989160188
NIEUW BEERTA AWS,3,10.659523613333363,13.893405229114668,-10.659523613333363,-13.893405229114668,12.159549685277337,14.274392961472051,15.355108627734467,18.45381355445329
VLISSINGEN AWS,3,9.818962266184863,17.010536557555344,-9.818962266184863,-17.010536557555344,10.772376984696194,17.643476803006706,15.718794756894509,22.85762084038089
DE BILT AWS,3,9.548487176564132,9.802410054416479,-9.548487176564132,-9.802410054416479,9.930657016431157,10.021333792025741,12.684344850434568,12.009958486042478
OOSTERSCHELDE WP,3,9.531200945250626,14.411538096386684,-9.531200945250626,-14.411538096386684,10.087266699897127,14.83226044985493,14.202052879692358,19.113055106904255
LICHTEILAND GOEREE,3,8.873314304362074,7.799928436523392,-1.1512201083983193,-7.799928436523392,9.683392672593374,8.793965243317533,11.64650069042966,13.34347595507802
MAASTRICHT AACHEN AP,3,8.680373243728772,3.2195609344823874,8.680373243728772,2.970539749117771,10.929347019447539,3.9253206930038425,17.507415711576925,5.862798209037976
DE KOOY VK,3,8.359269351565937,4.683412254627342,7.048765305973386,-1.0332364158413914,10.044503139897971,5.573984023979647,15.539018558608802,8.5749730057031
TWENTHE AWS,3,7.7090499752603705,10.7007354782617,-7.7090499752603705,-10.7007354782617,7.963815822352007,10.85888530707461,10.080199636464783,12.910313662500016
IJMUIDEN WP,3,7.5916843647460155,20.600066109456503,-7.591684364746015,-20.600066109456503,8.710907235141004,23.270193601590105,11.423391657226487,35.86026926782256
HUPSEL AWS,3,7.0828107876920585,3.479830061894423,0.7511084346192547,-3.479830061894423,7.952362715937096,3.5161594864838865,11.75087883346697,4.123870275449121
HERWIJNEN AWS,3,6.686965750071654,8.87100604318681,-6.686965750071654,-8.87100604318681,6.95019471820156,9.517889907987184,8.868044071884809,13.74517925068352
GRONINGEN AP EELDE,3,6.663597253886603,6.6851438275521105,-3.218464941308639,-6.6851438275521105,7.269471113828759,6.7582814249697325,10.725794372187465,8.082391565546914
GILZE RIJEN,3,6.601253386067772,9.764624328043775,-6.601253386067772,-9.764624328043775,6.737013337488193,9.975351958646279,7.871483419677814,12.361266666260065
LELYSTAD AP,3,6.522344782742493,14.708666232150108,-5.431727429877733,-14.708666232150108,7.386775189575207,18.442506005039498,9.32246196130842,30.07573964591825
AMSTERDAM/SCHIPHOL AP,3,6.229275816842422,12.318198850130178,-6.229275816842422,-12.318198850130178,7.518838738857128,12.33127382287623,12.131706718593703,13.116526532597618
WILHELMINADORP AWS,3,6.189084178385467,11.48095169882824,-6.189084178385467,-11.48095169882824,6.914692774302941,11.57291579528726,10.304375810039117,13.126845231562527
HOOGEVEEN AWS,3,5.7529098211327705,5.461726183761338,-5.7529098211327705,-5.461726183761338,6.033325736523947,5.466524497875398,7.380700238183522,5.755020342626892
LEEUWARDEN,3,5.444634395315745,9.637000293421332,0.4204392872948321,-9.637000293421332,5.664726247667885,9.642989600013076,7.53629266203137,9.91232898584002
EINDHOVEN AP,3,5.220374712797839,15.485291599138984,-5.220374712797839,-15.485291599138984,5.569265091724859,19.411702121570173,7.7846497419531016,32.02916010047849
HUIBERTGAT WP,3,5.004977613603539,14.796339919909562,-4.904880276468096,-14.796339919909562,6.070918480344854,17.8304822344865,7.612207120253913,28.0194282481516
OOSTERSCHELDE 4,3,3.3753172182486524,10.238267943094039,-3.3753172182486524,-10.238267943094039,5.314840205341544,10.848061278790542,9.172949029013635,15.072149830078104
HOEK VAN HOLLAND AWS,3,3.3418234972606147,11.953044284769703,-3.3418234972606147,-11.953044284769703,3.986139972659531,13.637844143904486,5.100521264736242,21.214581831887358
CABAUW TOWER AWS,3,3.0141650854947666,4.669842887942707,-2.264558620807273,-4.669842887942707,3.688725117784397,5.055201509604248,5.984844146289047,6.478132724023453
DEELEN,3,2.735649463928988,5.159591573857351,-2.735649463928988,-5.159591573857351,3.8089668131785075,5.337908049242036,6.419480773271458,7.090981864843684
HEINO AWS,3,2.56301236654277,7.288922498043784,0.026412138547623105,-7.288922498043784,2.9988060690580265,10.766512146600913,3.8049003419927203,18.492085298739653
VOLKEL,3,2.3921094263574023,3.0868443996614587,-1.5560226719498658,-3.0868443996614587,2.569228323804135,3.360445108883278,3.550057774999969,4.109471218105455
MARKNESSE AWS,3,2.2518280199178267,6.3012818432616955,-0.9396626176960196,-6.3012818432616955,2.671306634283647,6.664677945850097,4.136435059204073,9.348182569580047
MAROLLEGAT,3,1.931761617228176,13.036479616210917,-1.606003934204067,-13.036479616210917,3.0523109169921425,17.440214937343836,5.263954539062466,29.41823223596191
