station,name,lat,lon,height,country,station_type,start_time_utc,end_time_utc
0-20000-0-06235,DE KOOY VK,52.9269,4.7811,0.57,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06240,AMSTERDAM/SCHIPHOL AP,52.3172,4.7897,-3.87,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06260,DE BILT AWS,52.0989,5.1797,1.9,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06269,LELYSTAD AP,52.4483,5.5081,-4.52,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06270,LEEUWARDEN,53.2231,5.7517,0.27,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06273,MARKNESSE AWS,52.7019,5.8875,-3.35,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06275,DEELEN,52.0547,5.8722,45.23,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06278,HEINO AWS,52.4344,6.2589,3.6,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06279,HOOGEVEEN AWS,52.7489,6.5731,15.82,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06280,GRONINGEN AP EELDE,53.1236,6.5847,3.23,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06283,HUPSEL AWS,52.0678,6.6567,29.07,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06286,NIEUW BEERTA AWS,53.1944,7.1492,-0.2,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06290,TWENTHE AWS,52.2731,6.8908,33.02,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06310,VLISSINGEN AWS,51.4414,3.5958,8.03,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06320,LICHTEILAND GOEREE,51.9258,3.67,22.0,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06330,HOEK VAN HOLLAND AWS,51.9911,4.1217,11.86,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06344,ROTTERDAM THE HAGUE AP,51.9606,4.4469,-5.14,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06348,CABAUW TOWER AWS,51.9692,4.9258,-0.71,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06350,GILZE RIJEN,51.565,4.9353,11.95,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06356,HERWIJNEN AWS,51.8578,5.1453,0.66,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06370,EINDHOVEN AP,51.4497,5.3769,20.69,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06375,VOLKEL,51.6586,5.7067,19.85,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
0-20000-0-06380,MAASTRICHT AACHEN AP,50.9053,5.7619,112.72,Netherlands,,1997-01-01 01:00:00,1997-12-31 23:00:00
