Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_random_baseline_channels-all_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: RANDOM
Random Block splits (K=4):
  Block 0: 6 stations -> ['0-20000-0-06260', '0-20000-0-06269', '0-20000-0-06273', '0-20000-0-06286', '0-20000-0-06310', '0-20000-0-06330']
  Block 1: 6 stations -> ['0-20000-0-06240', '0-20000-0-06270', '0-20000-0-06275', '0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06344']
  Block 2: 6 stations -> ['0-20000-0-06280', '0-20000-0-06320', '0-20000-0-06348', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06380']
  Block 3: 5 stations -> ['0-20000-0-06235', '0-20000-0-06283', '0-20000-0-06290', '0-20000-0-06350', '0-20000-0-06375']

============================================================
  Fold 0
============================================================
/media/peridot/2TB1/Documents/Abhishek/offset prediction research/Offset-prediction/src/models/mpt.py:174: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal_encoder = nn.TransformerEncoder(
  Epoch    1/1000 | Train Loss: 2.7705 | Val MAE Tmax: 1.3133 | Val MAE Tmin: 1.2766 | Baseline Tmax: 1.9714
  Epoch    2/1000 | Train Loss: 2.5133 | Val MAE Tmax: 1.1584 | Val MAE Tmin: 1.2102 | Baseline Tmax: 1.9714
  Epoch    3/1000 | Train Loss: 2.4393 | Val MAE Tmax: 1.1855 | Val MAE Tmin: 1.1915 | Baseline Tmax: 1.9714
  Epoch    4/1000 | Train Loss: 2.3936 | Val MAE Tmax: 1.1299 | Val MAE Tmin: 1.1870 | Baseline Tmax: 1.9714
  Epoch    5/1000 | Train Loss: 2.3564 | Val MAE Tmax: 1.1384 | Val MAE Tmin: 1.1715 | Baseline Tmax: 1.9714
  Epoch    6/1000 | Train Loss: 2.3351 | Val MAE Tmax: 1.1791 | Val MAE Tmin: 1.1695 | Baseline Tmax: 1.9714
  Epoch    7/1000 | Train Loss: 2.3170 | Val MAE Tmax: 1.1461 | Val MAE Tmin: 1.1432 | Baseline Tmax: 1.9714
  Epoch    8/1000 | Train Loss: 2.2973 | Val MAE Tmax: 1.1471 | Val MAE Tmin: 1.1394 | Baseline Tmax: 1.9714
  Epoch    9/1000 | Train Loss: 2.2820 | Val MAE Tmax: 1.2090 | Val MAE Tmin: 1.1451 | Baseline Tmax: 1.9714
  Epoch   10/1000 | Train Loss: 2.2675 | Val MAE Tmax: 1.2119 | Val MAE Tmin: 1.1406 | Baseline Tmax: 1.9714
  Epoch   11/1000 | Train Loss: 2.2572 | Val MAE Tmax: 1.1576 | Val MAE Tmin: 1.1370 | Baseline Tmax: 1.9714
  Epoch   12/1000 | Train Loss: 2.2476 | Val MAE Tmax: 1.1513 | Val MAE Tmin: 1.1364 | Baseline Tmax: 1.9714
  Epoch   13/1000 | Train Loss: 2.2387 | Val MAE Tmax: 1.1555 | Val MAE Tmin: 1.1511 | Baseline Tmax: 1.9714
  Epoch   14/1000 | Train Loss: 2.2311 | Val MAE Tmax: 1.1109 | Val MAE Tmin: 1.1080 | Baseline Tmax: 1.9714
  Epoch   15/1000 | Train Loss: 2.2180 | Val MAE Tmax: 1.1023 | Val MAE Tmin: 1.1189 | Baseline Tmax: 1.9714
  Epoch   16/1000 | Train Loss: 2.2084 | Val MAE Tmax: 1.1644 | Val MAE Tmin: 1.1089 | Baseline Tmax: 1.9714
  Epoch   17/1000 | Train Loss: 2.2029 | Val MAE Tmax: 1.1357 | Val MAE Tmin: 1.1088 | Baseline Tmax: 1.9714
  Epoch   18/1000 | Train Loss: 2.1961 | Val MAE Tmax: 1.0977 | Val MAE Tmin: 1.1062 | Baseline Tmax: 1.9714
  Epoch   19/1000 | Train Loss: 2.1891 | Val MAE Tmax: 1.0730 | Val MAE Tmin: 1.1187 | Baseline Tmax: 1.9714
  Epoch   20/1000 | Train Loss: 2.1829 | Val MAE Tmax: 1.0985 | Val MAE Tmin: 1.1126 | Baseline Tmax: 1.9714
  Epoch   21/1000 | Train Loss: 2.1790 | Val MAE Tmax: 1.1057 | Val MAE Tmin: 1.1282 | Baseline Tmax: 1.9714
  Epoch   22/1000 | Train Loss: 2.1676 | Val MAE Tmax: 1.0886 | Val MAE Tmin: 1.1168 | Baseline Tmax: 1.9714
  Epoch   23/1000 | Train Loss: 2.1627 | Val MAE Tmax: 1.0667 | Val MAE Tmin: 1.1034 | Baseline Tmax: 1.9714
  Epoch   24/1000 | Train Loss: 2.1510 | Val MAE Tmax: 1.1086 | Val MAE Tmin: 1.1345 | Baseline Tmax: 1.9714
  Epoch   25/1000 | Train Loss: 2.1464 | Val MAE Tmax: 1.0394 | Val MAE Tmin: 1.1217 | Baseline Tmax: 1.9714
  Epoch   26/1000 | Train Loss: 2.1458 | Val MAE Tmax: 1.0460 | Val MAE Tmin: 1.1076 | Baseline Tmax: 1.9714
  Epoch   27/1000 | Train Loss: 2.1404 | Val MAE Tmax: 1.0462 | Val MAE Tmin: 1.1099 | Baseline Tmax: 1.9714
