/home/peridot/miniconda3/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_slobo_baseline_channels-all_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
/media/peridot/2TB1/Documents/Abhishek/offset prediction research/Offset-prediction/src/models/mpt.py:174: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal_encoder = nn.TransformerEncoder(
  Epoch    1/1000 | Train Loss: 2.6657 | Val MAE Tmax: 1.2119 | Val MAE Tmin: 1.5718 | Baseline Tmax: 2.0997
  Epoch    2/1000 | Train Loss: 2.4371 | Val MAE Tmax: 1.1541 | Val MAE Tmin: 1.4775 | Baseline Tmax: 2.0997
  Epoch    3/1000 | Train Loss: 2.3497 | Val MAE Tmax: 1.1919 | Val MAE Tmin: 1.4742 | Baseline Tmax: 2.0997
  Epoch    4/1000 | Train Loss: 2.3068 | Val MAE Tmax: 1.0901 | Val MAE Tmin: 1.4359 | Baseline Tmax: 2.0997
  Epoch    5/1000 | Train Loss: 2.2693 | Val MAE Tmax: 1.1370 | Val MAE Tmin: 1.4343 | Baseline Tmax: 2.0997
  Epoch    6/1000 | Train Loss: 2.2421 | Val MAE Tmax: 1.1229 | Val MAE Tmin: 1.3814 | Baseline Tmax: 2.0997
  Epoch    7/1000 | Train Loss: 2.2257 | Val MAE Tmax: 1.1202 | Val MAE Tmin: 1.4016 | Baseline Tmax: 2.0997
  Epoch    8/1000 | Train Loss: 2.2038 | Val MAE Tmax: 1.1021 | Val MAE Tmin: 1.4191 | Baseline Tmax: 2.0997
  Epoch    9/1000 | Train Loss: 2.1864 | Val MAE Tmax: 1.1110 | Val MAE Tmin: 1.4201 | Baseline Tmax: 2.0997
  Epoch   10/1000 | Train Loss: 2.1735 | Val MAE Tmax: 1.0816 | Val MAE Tmin: 1.3873 | Baseline Tmax: 2.0997
  Epoch   11/1000 | Train Loss: 2.1627 | Val MAE Tmax: 1.1115 | Val MAE Tmin: 1.4062 | Baseline Tmax: 2.0997
  Epoch   12/1000 | Train Loss: 2.1446 | Val MAE Tmax: 1.0933 | Val MAE Tmin: 1.3975 | Baseline Tmax: 2.0997
  Epoch   13/1000 | Train Loss: 2.1359 | Val MAE Tmax: 1.0930 | Val MAE Tmin: 1.4257 | Baseline Tmax: 2.0997
  Epoch   14/1000 | Train Loss: 2.1311 | Val MAE Tmax: 1.0938 | Val MAE Tmin: 1.4082 | Baseline Tmax: 2.0997
  Epoch   15/1000 | Train Loss: 2.1169 | Val MAE Tmax: 1.0439 | Val MAE Tmin: 1.4344 | Baseline Tmax: 2.0997
  Epoch   16/1000 | Train Loss: 2.1023 | Val MAE Tmax: 1.0742 | Val MAE Tmin: 1.4040 | Baseline Tmax: 2.0997
  Epoch   17/1000 | Train Loss: 2.1058 | Val MAE Tmax: 1.0559 | Val MAE Tmin: 1.4273 | Baseline Tmax: 2.0997
  Epoch   18/1000 | Train Loss: 2.0897 | Val MAE Tmax: 1.0807 | Val MAE Tmin: 1.4505 | Baseline Tmax: 2.0997
  Epoch   19/1000 | Train Loss: 2.0862 | Val MAE Tmax: 1.0473 | Val MAE Tmin: 1.3934 | Baseline Tmax: 2.0997
  Epoch   20/1000 | Train Loss: 2.0695 | Val MAE Tmax: 1.0447 | Val MAE Tmin: 1.3874 | Baseline Tmax: 2.0997
