Using device: cuda
Loading merged.csv ...
TrainVal rows: 33511 | Test rows: 8395
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: ST_LOBO
ST-LOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']
ST-LOBO temporal windows (T=2):
  Window 0: 2020-2021
  Window 1: 2022-2023

============================================================
  Fold s=0, t=0
============================================================
  Epoch    1/1000 | Train Loss: 3.6977 | Val MAE Tmax: 1.9159 | Val MAE Tmin: 1.9833 | Baseline Tmax: 2.1459
  Epoch    2/1000 | Train Loss: 3.6169 | Val MAE Tmax: 1.9474 | Val MAE Tmin: 1.9480 | Baseline Tmax: 2.1459
  Epoch    3/1000 | Train Loss: 3.5870 | Val MAE Tmax: 1.9187 | Val MAE Tmin: 1.9441 | Baseline Tmax: 2.1459
  Epoch    4/1000 | Train Loss: 3.5707 | Val MAE Tmax: 1.9047 | Val MAE Tmin: 1.9388 | Baseline Tmax: 2.1459
  Epoch    5/1000 | Train Loss: 3.5574 | Val MAE Tmax: 1.9011 | Val MAE Tmin: 1.9308 | Baseline Tmax: 2.1459
  Epoch    6/1000 | Train Loss: 3.5442 | Val MAE Tmax: 1.9219 | Val MAE Tmin: 1.9316 | Baseline Tmax: 2.1459
  Epoch    7/1000 | Train Loss: 3.5331 | Val MAE Tmax: 1.8865 | Val MAE Tmin: 1.9350 | Baseline Tmax: 2.1459
  Epoch    8/1000 | Train Loss: 3.5306 | Val MAE Tmax: 1.9128 | Val MAE Tmin: 1.9344 | Baseline Tmax: 2.1459
  Epoch    9/1000 | Train Loss: 3.5222 | Val MAE Tmax: 1.8667 | Val MAE Tmin: 1.9360 | Baseline Tmax: 2.1459
  Epoch   10/1000 | Train Loss: 3.5171 | Val MAE Tmax: 1.8773 | Val MAE Tmin: 1.9311 | Baseline Tmax: 2.1459
  Epoch   11/1000 | Train Loss: 3.5142 | Val MAE Tmax: 1.8712 | Val MAE Tmin: 1.9339 | Baseline Tmax: 2.1459
  Epoch   12/1000 | Train Loss: 3.5115 | Val MAE Tmax: 1.8583 | Val MAE Tmin: 1.9347 | Baseline Tmax: 2.1459
  Epoch   13/1000 | Train Loss: 3.5063 | Val MAE Tmax: 1.8684 | Val MAE Tmin: 1.9372 | Baseline Tmax: 2.1459
