Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_st_lobo_baseline_channels-all_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: ST_LOBO
ST-LOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']
ST-LOBO temporal windows (T=2):
  Window 0: 2020-2021
  Window 1: 2022-2023

============================================================
  Fold s=0, t=0
============================================================
/media/peridot/2TB1/Documents/Abhishek/offset prediction research/Offset-prediction/src/models/mpt.py:174: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal_encoder = nn.TransformerEncoder(
  Epoch    1/1000 | Train Loss: 2.6598 | Val MAE Tmax: 1.2478 | Val MAE Tmin: 1.4606 | Baseline Tmax: 2.0847
  Epoch    2/1000 | Train Loss: 2.4394 | Val MAE Tmax: 1.1667 | Val MAE Tmin: 1.4288 | Baseline Tmax: 2.0847
  Epoch    3/1000 | Train Loss: 2.3623 | Val MAE Tmax: 1.1268 | Val MAE Tmin: 1.4022 | Baseline Tmax: 2.0847
  Epoch    4/1000 | Train Loss: 2.3230 | Val MAE Tmax: 1.1069 | Val MAE Tmin: 1.3719 | Baseline Tmax: 2.0847
  Epoch    5/1000 | Train Loss: 2.2907 | Val MAE Tmax: 1.1423 | Val MAE Tmin: 1.3294 | Baseline Tmax: 2.0847
  Epoch    6/1000 | Train Loss: 2.2556 | Val MAE Tmax: 1.1615 | Val MAE Tmin: 1.3398 | Baseline Tmax: 2.0847
  Epoch    7/1000 | Train Loss: 2.2455 | Val MAE Tmax: 1.1200 | Val MAE Tmin: 1.3285 | Baseline Tmax: 2.0847
  Epoch    8/1000 | Train Loss: 2.2249 | Val MAE Tmax: 1.1098 | Val MAE Tmin: 1.3164 | Baseline Tmax: 2.0847
  Epoch    9/1000 | Train Loss: 2.2053 | Val MAE Tmax: 1.1254 | Val MAE Tmin: 1.3214 | Baseline Tmax: 2.0847
  Epoch   10/1000 | Train Loss: 2.2038 | Val MAE Tmax: 1.1414 | Val MAE Tmin: 1.3067 | Baseline Tmax: 2.0847
  Epoch   11/1000 | Train Loss: 2.1940 | Val MAE Tmax: 1.0752 | Val MAE Tmin: 1.3170 | Baseline Tmax: 2.0847
  Epoch   12/1000 | Train Loss: 2.1853 | Val MAE Tmax: 1.0728 | Val MAE Tmin: 1.3062 | Baseline Tmax: 2.0847
  Epoch   13/1000 | Train Loss: 2.1854 | Val MAE Tmax: 1.0325 | Val MAE Tmin: 1.3021 | Baseline Tmax: 2.0847
  Epoch   14/1000 | Train Loss: 2.1626 | Val MAE Tmax: 1.0187 | Val MAE Tmin: 1.2932 | Baseline Tmax: 2.0847
  Epoch   15/1000 | Train Loss: 2.1532 | Val MAE Tmax: 1.0438 | Val MAE Tmin: 1.2992 | Baseline Tmax: 2.0847
  Epoch   16/1000 | Train Loss: 2.1475 | Val MAE Tmax: 1.0349 | Val MAE Tmin: 1.2972 | Baseline Tmax: 2.0847
  Epoch   17/1000 | Train Loss: 2.1378 | Val MAE Tmax: 1.0263 | Val MAE Tmin: 1.2985 | Baseline Tmax: 2.0847
  Epoch   18/1000 | Train Loss: 2.1329 | Val MAE Tmax: 1.0313 | Val MAE Tmin: 1.2883 | Baseline Tmax: 2.0847
  Epoch   19/1000 | Train Loss: 2.1287 | Val MAE Tmax: 1.0075 | Val MAE Tmin: 1.2843 | Baseline Tmax: 2.0847
  Epoch   20/1000 | Train Loss: 2.1169 | Val MAE Tmax: 0.9944 | Val MAE Tmin: 1.2657 | Baseline Tmax: 2.0847
  Epoch   21/1000 | Train Loss: 2.1158 | Val MAE Tmax: 1.0032 | Val MAE Tmin: 1.2590 | Baseline Tmax: 2.0847
  Epoch   22/1000 | Train Loss: 2.1082 | Val MAE Tmax: 1.0086 | Val MAE Tmin: 1.2542 | Baseline Tmax: 2.0847
  Epoch   23/1000 | Train Loss: 2.1040 | Val MAE Tmax: 1.0098 | Val MAE Tmin: 1.2411 | Baseline Tmax: 2.0847
  Epoch   24/1000 | Train Loss: 2.1068 | Val MAE Tmax: 1.0055 | Val MAE Tmin: 1.2665 | Baseline Tmax: 2.0847
  Epoch   25/1000 | Train Loss: 2.0897 | Val MAE Tmax: 1.0181 | Val MAE Tmin: 1.2683 | Baseline Tmax: 2.0847
  Epoch   26/1000 | Train Loss: 2.0836 | Val MAE Tmax: 1.0067 | Val MAE Tmin: 1.2420 | Baseline Tmax: 2.0847
