Loading merged.csv ...
Training years used: [2020, 2021, 2022, 2023]

==================================================
  Experiment: Withholding m=0 stations
==================================================
  Running 1 iterations for m=0...

  --- Iteration 1/1 ---
  Unseen stations (0): []
  [Time Est] ~13.0s/epoch. ETA for m=0: ~4.3 mins.
    Epoch   10/1000 | Loss: 3.5704 | Monitor MAE: 1.7450 | Patience: 0/10
    Epoch   20/1000 | Loss: 3.5363 | Monitor MAE: 1.7070 | Patience: 1/10
    Epoch   30/1000 | Loss: 3.5042 | Monitor MAE: 1.6981 | Patience: 0/10
    Epoch   40/1000 | Loss: 3.4960 | Monitor MAE: 1.6765 | Patience: 3/10
    Epoch   50/1000 | Loss: 3.4638 | Monitor MAE: 1.6651 | Patience: 7/10
    Epoch   60/1000 | Loss: 3.4567 | Monitor MAE: 1.6581 | Patience: 3/10
    Early stopping triggered after 66 epochs.
    Iter 1 Results -> Seen MAE: 1.6528

  ========================================
  AGGREGATED RESULTS (Across all iterations)
  SEEN   mean MAE Tmax: 1.6528
  ========================================

  [AGGREGATED_CURVES_START]
    Epoch 1:  [avg_train_loss=3.7413, avg_seen_mae=1.8092]
    Epoch 2:  [avg_train_loss=3.6653, avg_seen_mae=1.7905]
    Epoch 3:  [avg_train_loss=3.6368, avg_seen_mae=1.8120]
    Epoch 4:  [avg_train_loss=3.6238, avg_seen_mae=1.7924]
    Epoch 5:  [avg_train_loss=3.6028, avg_seen_mae=1.7770]
    Epoch 6:  [avg_train_loss=3.5928, avg_seen_mae=1.7660]
    Epoch 7:  [avg_train_loss=3.5843, avg_seen_mae=1.7647]
    Epoch 8:  [avg_train_loss=3.5775, avg_seen_mae=1.7651]
    Epoch 9:  [avg_train_loss=3.5778, avg_seen_mae=1.7423]
    Epoch 10:  [avg_train_loss=3.5704, avg_seen_mae=1.7450]
    Epoch 11:  [avg_train_loss=3.5660, avg_seen_mae=1.7475]
    Epoch 12:  [avg_train_loss=3.5589, avg_seen_mae=1.7458]
    Epoch 13:  [avg_train_loss=3.5544, avg_seen_mae=1.7367]
    Epoch 14:  [avg_train_loss=3.5567, avg_seen_mae=1.7379]
    Epoch 15:  [avg_train_loss=3.5518, avg_seen_mae=1.7307]
    Epoch 16:  [avg_train_loss=3.5432, avg_seen_mae=1.7354]
    Epoch 17:  [avg_train_loss=3.5379, avg_seen_mae=1.7328]
    Epoch 18:  [avg_train_loss=3.5376, avg_seen_mae=1.7251]
    Epoch 19:  [avg_train_loss=3.5390, avg_seen_mae=1.7306]
    Epoch 20:  [avg_train_loss=3.5363, avg_seen_mae=1.7070]
    Epoch 21:  [avg_train_loss=3.5258, avg_seen_mae=1.7045]
    Epoch 22:  [avg_train_loss=3.5284, avg_seen_mae=1.7177]
    Epoch 23:  [avg_train_loss=3.5229, avg_seen_mae=1.7079]
    Epoch 24:  [avg_train_loss=3.5210, avg_seen_mae=1.7179]
    Epoch 25:  [avg_train_loss=3.5186, avg_seen_mae=1.7150]
    Epoch 26:  [avg_train_loss=3.5236, avg_seen_mae=1.7070]
    Epoch 27:  [avg_train_loss=3.5168, avg_seen_mae=1.7142]
    Epoch 28:  [avg_train_loss=3.5129, avg_seen_mae=1.7039]
    Epoch 29:  [avg_train_loss=3.5088, avg_seen_mae=1.6994]
    Epoch 30:  [avg_train_loss=3.5042, avg_seen_mae=1.6981]
    Epoch 31:  [avg_train_loss=3.5071, avg_seen_mae=1.7033]
    Epoch 32:  [avg_train_loss=3.5057, avg_seen_mae=1.6975]
    Epoch 33:  [avg_train_loss=3.5045, avg_seen_mae=1.7081]
    Epoch 34:  [avg_train_loss=3.5058, avg_seen_mae=1.6968]
    Epoch 35:  [avg_train_loss=3.5020, avg_seen_mae=1.7015]
    Epoch 36:  [avg_train_loss=3.4928, avg_seen_mae=1.6865]
    Epoch 37:  [avg_train_loss=3.4951, avg_seen_mae=1.6951]
    Epoch 38:  [avg_train_loss=3.4895, avg_seen_mae=1.6872]
    Epoch 39:  [avg_train_loss=3.4886, avg_seen_mae=1.6893]
    Epoch 40:  [avg_train_loss=3.4960, avg_seen_mae=1.6765]
    Epoch 41:  [avg_train_loss=3.4854, avg_seen_mae=1.6729]
    Epoch 42:  [avg_train_loss=3.4811, avg_seen_mae=1.6698]
    Epoch 43:  [avg_train_loss=3.4786, avg_seen_mae=1.6708]
    Epoch 44:  [avg_train_loss=3.4736, avg_seen_mae=1.6760]
    Epoch 45:  [avg_train_loss=3.4829, avg_seen_mae=1.6767]
    Epoch 46:  [avg_train_loss=3.4853, avg_seen_mae=1.6755]
    Epoch 47:  [avg_train_loss=3.4712, avg_seen_mae=1.6793]
    Epoch 48:  [avg_train_loss=3.4764, avg_seen_mae=1.6751]
    Epoch 49:  [avg_train_loss=3.4685, avg_seen_mae=1.6741]
    Epoch 50:  [avg_train_loss=3.4638, avg_seen_mae=1.6651]
    Epoch 51:  [avg_train_loss=3.4670, avg_seen_mae=1.6721]
    Epoch 52:  [avg_train_loss=3.4675, avg_seen_mae=1.6607]
    Epoch 53:  [avg_train_loss=3.4669, avg_seen_mae=1.6720]
    Epoch 54:  [avg_train_loss=3.4679, avg_seen_mae=1.6716]
    Epoch 55:  [avg_train_loss=3.4645, avg_seen_mae=1.6615]
    Epoch 56:  [avg_train_loss=3.4574, avg_seen_mae=1.6528]
    Epoch 57:  [avg_train_loss=3.4610, avg_seen_mae=1.6744]
    Epoch 58:  [avg_train_loss=3.4602, avg_seen_mae=1.6633]
    Epoch 59:  [avg_train_loss=3.4596, avg_seen_mae=1.6748]
    Epoch 60:  [avg_train_loss=3.4567, avg_seen_mae=1.6581]
    Epoch 61:  [avg_train_loss=3.4515, avg_seen_mae=1.6544]
