Using device: cuda
Loading merged.csv ...
TrainVal rows: 33511 | Test rows: 8395
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 3.6786 | Val MAE Tmax: 1.8950 | Val MAE Tmin: 2.0126 | Baseline Tmax: 2.1598
  Epoch    2/1000 | Train Loss: 3.5936 | Val MAE Tmax: 1.8592 | Val MAE Tmin: 2.0041 | Baseline Tmax: 2.1598
  Epoch    3/1000 | Train Loss: 3.5676 | Val MAE Tmax: 1.8506 | Val MAE Tmin: 1.9977 | Baseline Tmax: 2.1598
  Epoch    4/1000 | Train Loss: 3.5480 | Val MAE Tmax: 1.8404 | Val MAE Tmin: 1.9966 | Baseline Tmax: 2.1598
  Epoch    5/1000 | Train Loss: 3.5337 | Val MAE Tmax: 1.8312 | Val MAE Tmin: 1.9954 | Baseline Tmax: 2.1598
  Epoch    6/1000 | Train Loss: 3.5249 | Val MAE Tmax: 1.8325 | Val MAE Tmin: 1.9883 | Baseline Tmax: 2.1598
  Epoch    7/1000 | Train Loss: 3.5174 | Val MAE Tmax: 1.8300 | Val MAE Tmin: 1.9866 | Baseline Tmax: 2.1598
  Epoch    8/1000 | Train Loss: 3.5083 | Val MAE Tmax: 1.8278 | Val MAE Tmin: 1.9774 | Baseline Tmax: 2.1598
  Epoch    9/1000 | Train Loss: 3.5048 | Val MAE Tmax: 1.8233 | Val MAE Tmin: 1.9748 | Baseline Tmax: 2.1598
  Epoch   10/1000 | Train Loss: 3.5018 | Val MAE Tmax: 1.8252 | Val MAE Tmin: 1.9727 | Baseline Tmax: 2.1598
  Epoch   11/1000 | Train Loss: 3.4960 | Val MAE Tmax: 1.8260 | Val MAE Tmin: 1.9691 | Baseline Tmax: 2.1598
  Epoch   12/1000 | Train Loss: 3.4918 | Val MAE Tmax: 1.8222 | Val MAE Tmin: 1.9705 | Baseline Tmax: 2.1598
  Epoch   13/1000 | Train Loss: 3.4861 | Val MAE Tmax: 1.8224 | Val MAE Tmin: 1.9661 | Baseline Tmax: 2.1598
  Epoch   14/1000 | Train Loss: 3.4842 | Val MAE Tmax: 1.8194 | Val MAE Tmin: 1.9632 | Baseline Tmax: 2.1598
  Epoch   15/1000 | Train Loss: 3.4791 | Val MAE Tmax: 1.8192 | Val MAE Tmin: 1.9630 | Baseline Tmax: 2.1598
  Epoch   16/1000 | Train Loss: 3.4747 | Val MAE Tmax: 1.8105 | Val MAE Tmin: 1.9613 | Baseline Tmax: 2.1598
  Epoch   17/1000 | Train Loss: 3.4721 | Val MAE Tmax: 1.8077 | Val MAE Tmin: 1.9629 | Baseline Tmax: 2.1598
  Epoch   18/1000 | Train Loss: 3.4675 | Val MAE Tmax: 1.8085 | Val MAE Tmin: 1.9640 | Baseline Tmax: 2.1598
  Epoch   19/1000 | Train Loss: 3.4654 | Val MAE Tmax: 1.8098 | Val MAE Tmin: 1.9645 | Baseline Tmax: 2.1598
  Epoch   20/1000 | Train Loss: 3.4629 | Val MAE Tmax: 1.8016 | Val MAE Tmin: 1.9632 | Baseline Tmax: 2.1598
  Epoch   21/1000 | Train Loss: 3.4578 | Val MAE Tmax: 1.8000 | Val MAE Tmin: 1.9661 | Baseline Tmax: 2.1598
  Epoch   22/1000 | Train Loss: 3.4553 | Val MAE Tmax: 1.7981 | Val MAE Tmin: 1.9660 | Baseline Tmax: 2.1598
  Epoch   23/1000 | Train Loss: 3.4542 | Val MAE Tmax: 1.7989 | Val MAE Tmin: 1.9616 | Baseline Tmax: 2.1598
  Epoch   24/1000 | Train Loss: 3.4480 | Val MAE Tmax: 1.7953 | Val MAE Tmin: 1.9632 | Baseline Tmax: 2.1598
  Epoch   25/1000 | Train Loss: 3.4482 | Val MAE Tmax: 1.7936 | Val MAE Tmin: 1.9638 | Baseline Tmax: 2.1598
  Epoch   26/1000 | Train Loss: 3.4425 | Val MAE Tmax: 1.7945 | Val MAE Tmin: 1.9755 | Baseline Tmax: 2.1598
  Epoch   27/1000 | Train Loss: 3.4430 | Val MAE Tmax: 1.7919 | Val MAE Tmin: 1.9635 | Baseline Tmax: 2.1598
  Epoch   28/1000 | Train Loss: 3.4386 | Val MAE Tmax: 1.7924 | Val MAE Tmin: 1.9657 | Baseline Tmax: 2.1598
  Epoch   29/1000 | Train Loss: 3.4369 | Val MAE Tmax: 1.7916 | Val MAE Tmin: 1.9681 | Baseline Tmax: 2.1598
  Epoch   30/1000 | Train Loss: 3.4327 | Val MAE Tmax: 1.7928 | Val MAE Tmin: 1.9676 | Baseline Tmax: 2.1598
