/home/peridot/miniconda3/lib/python3.13/site-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_slobo_multi_channel_channels-temperature-wind-terrain_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 2.6631 | Val MAE Tmax: 1.2136 | Val MAE Tmin: 1.4689 | Baseline Tmax: 2.0997
  Epoch    2/1000 | Train Loss: 2.4315 | Val MAE Tmax: 1.1188 | Val MAE Tmin: 1.4243 | Baseline Tmax: 2.0997
  Epoch    3/1000 | Train Loss: 2.3591 | Val MAE Tmax: 1.0909 | Val MAE Tmin: 1.3711 | Baseline Tmax: 2.0997
  Epoch    4/1000 | Train Loss: 2.3150 | Val MAE Tmax: 1.0724 | Val MAE Tmin: 1.3647 | Baseline Tmax: 2.0997
  Epoch    5/1000 | Train Loss: 2.2908 | Val MAE Tmax: 1.0909 | Val MAE Tmin: 1.3459 | Baseline Tmax: 2.0997
  Epoch    6/1000 | Train Loss: 2.2670 | Val MAE Tmax: 1.0685 | Val MAE Tmin: 1.3090 | Baseline Tmax: 2.0997
  Epoch    7/1000 | Train Loss: 2.2483 | Val MAE Tmax: 1.0937 | Val MAE Tmin: 1.3298 | Baseline Tmax: 2.0997
  Epoch    8/1000 | Train Loss: 2.2314 | Val MAE Tmax: 1.1014 | Val MAE Tmin: 1.3148 | Baseline Tmax: 2.0997
  Epoch    9/1000 | Train Loss: 2.2155 | Val MAE Tmax: 1.1023 | Val MAE Tmin: 1.3095 | Baseline Tmax: 2.0997
  Epoch   10/1000 | Train Loss: 2.2019 | Val MAE Tmax: 1.0571 | Val MAE Tmin: 1.3095 | Baseline Tmax: 2.0997
  Epoch   11/1000 | Train Loss: 2.1805 | Val MAE Tmax: 1.0952 | Val MAE Tmin: 1.2865 | Baseline Tmax: 2.0997
  Epoch   12/1000 | Train Loss: 2.1703 | Val MAE Tmax: 1.0749 | Val MAE Tmin: 1.2804 | Baseline Tmax: 2.0997
  Epoch   13/1000 | Train Loss: 2.1557 | Val MAE Tmax: 1.0477 | Val MAE Tmin: 1.2966 | Baseline Tmax: 2.0997
  Epoch   14/1000 | Train Loss: 2.1459 | Val MAE Tmax: 1.0506 | Val MAE Tmin: 1.2909 | Baseline Tmax: 2.0997
  Epoch   15/1000 | Train Loss: 2.1353 | Val MAE Tmax: 1.0239 | Val MAE Tmin: 1.2773 | Baseline Tmax: 2.0997
  Epoch   16/1000 | Train Loss: 2.1215 | Val MAE Tmax: 1.0489 | Val MAE Tmin: 1.2784 | Baseline Tmax: 2.0997
  Epoch   17/1000 | Train Loss: 2.1167 | Val MAE Tmax: 1.0229 | Val MAE Tmin: 1.2732 | Baseline Tmax: 2.0997
  Epoch   18/1000 | Train Loss: 2.1105 | Val MAE Tmax: 1.0272 | Val MAE Tmin: 1.2695 | Baseline Tmax: 2.0997
  Epoch   19/1000 | Train Loss: 2.0997 | Val MAE Tmax: 1.0103 | Val MAE Tmin: 1.2534 | Baseline Tmax: 2.0997
  Epoch   20/1000 | Train Loss: 2.0934 | Val MAE Tmax: 1.0132 | Val MAE Tmin: 1.2648 | Baseline Tmax: 2.0997
  Epoch   21/1000 | Train Loss: 2.0890 | Val MAE Tmax: 0.9975 | Val MAE Tmin: 1.2374 | Baseline Tmax: 2.0997
  Epoch   22/1000 | Train Loss: 2.0804 | Val MAE Tmax: 1.0125 | Val MAE Tmin: 1.2551 | Baseline Tmax: 2.0997
  Epoch   23/1000 | Train Loss: 2.0728 | Val MAE Tmax: 0.9795 | Val MAE Tmin: 1.2469 | Baseline Tmax: 2.0997
  Epoch   24/1000 | Train Loss: 2.0719 | Val MAE Tmax: 1.0106 | Val MAE Tmin: 1.2494 | Baseline Tmax: 2.0997
  Epoch   25/1000 | Train Loss: 2.0667 | Val MAE Tmax: 1.0044 | Val MAE Tmin: 1.2687 | Baseline Tmax: 2.0997
  Epoch   26/1000 | Train Loss: 2.0634 | Val MAE Tmax: 0.9926 | Val MAE Tmin: 1.2484 | Baseline Tmax: 2.0997
  Epoch   27/1000 | Train Loss: 2.0611 | Val MAE Tmax: 0.9969 | Val MAE Tmin: 1.2421 | Baseline Tmax: 2.0997
  Epoch   28/1000 | Train Loss: 2.0536 | Val MAE Tmax: 0.9898 | Val MAE Tmin: 1.2697 | Baseline Tmax: 2.0997
  Epoch   29/1000 | Train Loss: 2.0484 | Val MAE Tmax: 1.0163 | Val MAE Tmin: 1.2301 | Baseline Tmax: 2.0997
  Epoch   30/1000 | Train Loss: 2.0434 | Val MAE Tmax: 1.0007 | Val MAE Tmin: 1.2352 | Baseline Tmax: 2.0997
  Epoch   31/1000 | Train Loss: 2.0372 | Val MAE Tmax: 0.9934 | Val MAE Tmin: 1.2238 | Baseline Tmax: 2.0997
  Epoch   32/1000 | Train Loss: 2.0336 | Val MAE Tmax: 0.9843 | Val MAE Tmin: 1.2488 | Baseline Tmax: 2.0997
  Epoch   33/1000 | Train Loss: 2.0320 | Val MAE Tmax: 0.9930 | Val MAE Tmin: 1.2509 | Baseline Tmax: 2.0997
  Epoch   34/1000 | Train Loss: 2.0257 | Val MAE Tmax: 0.9786 | Val MAE Tmin: 1.2390 | Baseline Tmax: 2.0997
  Epoch   35/1000 | Train Loss: 2.0232 | Val MAE Tmax: 0.9791 | Val MAE Tmin: 1.2308 | Baseline Tmax: 2.0997
  Epoch   36/1000 | Train Loss: 2.0252 | Val MAE Tmax: 1.0056 | Val MAE Tmin: 1.2248 | Baseline Tmax: 2.0997
  Epoch   37/1000 | Train Loss: 2.0205 | Val MAE Tmax: 0.9769 | Val MAE Tmin: 1.2341 | Baseline Tmax: 2.0997
  Epoch   38/1000 | Train Loss: 2.0119 | Val MAE Tmax: 0.9972 | Val MAE Tmin: 1.2348 | Baseline Tmax: 2.0997
  Epoch   39/1000 | Train Loss: 2.0124 | Val MAE Tmax: 0.9834 | Val MAE Tmin: 1.2392 | Baseline Tmax: 2.0997
  Epoch   40/1000 | Train Loss: 2.0079 | Val MAE Tmax: 0.9987 | Val MAE Tmin: 1.2251 | Baseline Tmax: 2.0997
  Epoch   41/1000 | Train Loss: 2.0014 | Val MAE Tmax: 1.0275 | Val MAE Tmin: 1.2267 | Baseline Tmax: 2.0997
  Epoch   42/1000 | Train Loss: 2.0000 | Val MAE Tmax: 0.9813 | Val MAE Tmin: 1.2245 | Baseline Tmax: 2.0997
  Epoch   43/1000 | Train Loss: 1.9999 | Val MAE Tmax: 1.0082 | Val MAE Tmin: 1.2394 | Baseline Tmax: 2.0997
  Epoch   44/1000 | Train Loss: 1.9940 | Val MAE Tmax: 1.0263 | Val MAE Tmin: 1.2313 | Baseline Tmax: 2.0997
  Epoch   45/1000 | Train Loss: 1.9930 | Val MAE Tmax: 0.9924 | Val MAE Tmin: 1.2373 | Baseline Tmax: 2.0997
  Epoch   46/1000 | Train Loss: 1.9876 | Val MAE Tmax: 0.9819 | Val MAE Tmin: 1.2429 | Baseline Tmax: 2.0997
  Epoch   47/1000 | Train Loss: 1.9852 | Val MAE Tmax: 0.9782 | Val MAE Tmin: 1.2262 | Baseline Tmax: 2.0997
  Epoch   48/1000 | Train Loss: 1.9817 | Val MAE Tmax: 0.9927 | Val MAE Tmin: 1.2393 | Baseline Tmax: 2.0997
  Epoch   49/1000 | Train Loss: 1.9806 | Val MAE Tmax: 0.9758 | Val MAE Tmin: 1.2280 | Baseline Tmax: 2.0997
  Epoch   50/1000 | Train Loss: 1.9759 | Val MAE Tmax: 0.9763 | Val MAE Tmin: 1.2157 | Baseline Tmax: 2.0997
  Epoch   51/1000 | Train Loss: 1.9759 | Val MAE Tmax: 0.9715 | Val MAE Tmin: 1.2250 | Baseline Tmax: 2.0997
  Epoch   52/1000 | Train Loss: 1.9739 | Val MAE Tmax: 0.9776 | Val MAE Tmin: 1.2329 | Baseline Tmax: 2.0997
  Epoch   53/1000 | Train Loss: 1.9686 | Val MAE Tmax: 0.9857 | Val MAE Tmin: 1.2172 | Baseline Tmax: 2.0997
  Epoch   54/1000 | Train Loss: 1.9646 | Val MAE Tmax: 0.9604 | Val MAE Tmin: 1.2304 | Baseline Tmax: 2.0997
  Epoch   55/1000 | Train Loss: 1.9685 | Val MAE Tmax: 0.9507 | Val MAE Tmin: 1.2167 | Baseline Tmax: 2.0997
  Epoch   56/1000 | Train Loss: 1.9590 | Val MAE Tmax: 0.9726 | Val MAE Tmin: 1.2200 | Baseline Tmax: 2.0997
  Epoch   57/1000 | Train Loss: 1.9609 | Val MAE Tmax: 0.9501 | Val MAE Tmin: 1.2120 | Baseline Tmax: 2.0997
  Epoch   58/1000 | Train Loss: 1.9639 | Val MAE Tmax: 0.9836 | Val MAE Tmin: 1.2016 | Baseline Tmax: 2.0997
  Epoch   59/1000 | Train Loss: 1.9594 | Val MAE Tmax: 0.9785 | Val MAE Tmin: 1.2081 | Baseline Tmax: 2.0997
  Epoch   60/1000 | Train Loss: 1.9564 | Val MAE Tmax: 0.9843 | Val MAE Tmin: 1.2182 | Baseline Tmax: 2.0997
  Epoch   61/1000 | Train Loss: 1.9496 | Val MAE Tmax: 0.9643 | Val MAE Tmin: 1.2160 | Baseline Tmax: 2.0997
  Epoch   62/1000 | Train Loss: 1.9463 | Val MAE Tmax: 0.9739 | Val MAE Tmin: 1.2267 | Baseline Tmax: 2.0997
  Epoch   63/1000 | Train Loss: 1.9487 | Val MAE Tmax: 1.0015 | Val MAE Tmin: 1.2303 | Baseline Tmax: 2.0997
  Epoch   64/1000 | Train Loss: 1.9450 | Val MAE Tmax: 1.0032 | Val MAE Tmin: 1.2071 | Baseline Tmax: 2.0997
  Epoch   65/1000 | Train Loss: 1.9403 | Val MAE Tmax: 0.9535 | Val MAE Tmin: 1.2397 | Baseline Tmax: 2.0997
  Epoch   66/1000 | Train Loss: 1.9418 | Val MAE Tmax: 0.9679 | Val MAE Tmin: 1.2250 | Baseline Tmax: 2.0997
  Epoch   67/1000 | Train Loss: 1.9435 | Val MAE Tmax: 0.9694 | Val MAE Tmin: 1.2224 | Baseline Tmax: 2.0997
  Early stopping triggered after 67 epochs (Patience=10).

============================================================
  Fold 1
============================================================
  Epoch    1/1000 | Train Loss: 2.6801 | Val MAE Tmax: 1.2318 | Val MAE Tmin: 1.4023 | Baseline Tmax: 2.0733
  Epoch    2/1000 | Train Loss: 2.4162 | Val MAE Tmax: 1.1713 | Val MAE Tmin: 1.3904 | Baseline Tmax: 2.0733
  Epoch    3/1000 | Train Loss: 2.3368 | Val MAE Tmax: 1.1385 | Val MAE Tmin: 1.3585 | Baseline Tmax: 2.0733
  Epoch    4/1000 | Train Loss: 2.2902 | Val MAE Tmax: 1.1369 | Val MAE Tmin: 1.3425 | Baseline Tmax: 2.0733
  Epoch    5/1000 | Train Loss: 2.2550 | Val MAE Tmax: 1.1583 | Val MAE Tmin: 1.3181 | Baseline Tmax: 2.0733
  Epoch    6/1000 | Train Loss: 2.2369 | Val MAE Tmax: 1.1400 | Val MAE Tmin: 1.3224 | Baseline Tmax: 2.0733
  Epoch    7/1000 | Train Loss: 2.2132 | Val MAE Tmax: 1.1127 | Val MAE Tmin: 1.3122 | Baseline Tmax: 2.0733
  Epoch    8/1000 | Train Loss: 2.1889 | Val MAE Tmax: 1.1620 | Val MAE Tmin: 1.3024 | Baseline Tmax: 2.0733
  Epoch    9/1000 | Train Loss: 2.1823 | Val MAE Tmax: 1.1461 | Val MAE Tmin: 1.3111 | Baseline Tmax: 2.0733
  Epoch   10/1000 | Train Loss: 2.1655 | Val MAE Tmax: 1.1321 | Val MAE Tmin: 1.2970 | Baseline Tmax: 2.0733
  Epoch   11/1000 | Train Loss: 2.1539 | Val MAE Tmax: 1.1017 | Val MAE Tmin: 1.2967 | Baseline Tmax: 2.0733
  Epoch   12/1000 | Train Loss: 2.1403 | Val MAE Tmax: 1.1061 | Val MAE Tmin: 1.3035 | Baseline Tmax: 2.0733
  Epoch   13/1000 | Train Loss: 2.1333 | Val MAE Tmax: 1.0662 | Val MAE Tmin: 1.3190 | Baseline Tmax: 2.0733
  Epoch   14/1000 | Train Loss: 2.1260 | Val MAE Tmax: 1.0772 | Val MAE Tmin: 1.3092 | Baseline Tmax: 2.0733
  Epoch   15/1000 | Train Loss: 2.1117 | Val MAE Tmax: 1.0840 | Val MAE Tmin: 1.2931 | Baseline Tmax: 2.0733
  Epoch   16/1000 | Train Loss: 2.1062 | Val MAE Tmax: 1.1066 | Val MAE Tmin: 1.3016 | Baseline Tmax: 2.0733
  Epoch   17/1000 | Train Loss: 2.0988 | Val MAE Tmax: 1.0705 | Val MAE Tmin: 1.2939 | Baseline Tmax: 2.0733
  Epoch   18/1000 | Train Loss: 2.0965 | Val MAE Tmax: 1.0605 | Val MAE Tmin: 1.2900 | Baseline Tmax: 2.0733
  Epoch   19/1000 | Train Loss: 2.0887 | Val MAE Tmax: 1.0928 | Val MAE Tmin: 1.2769 | Baseline Tmax: 2.0733
