Using device: cuda
Loading merged.csv ...
TrainVal rows: 33511 | Test rows: 8395
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 3.7048 | Val MAE Tmax: 1.9346 | Val MAE Tmin: 2.0728 | Baseline Tmax: 2.1598
  Epoch    2/1000 | Train Loss: 3.6001 | Val MAE Tmax: 1.8634 | Val MAE Tmin: 2.0200 | Baseline Tmax: 2.1598
  Epoch    3/1000 | Train Loss: 3.5711 | Val MAE Tmax: 1.8475 | Val MAE Tmin: 2.0097 | Baseline Tmax: 2.1598
  Epoch    4/1000 | Train Loss: 3.5553 | Val MAE Tmax: 1.8315 | Val MAE Tmin: 1.9924 | Baseline Tmax: 2.1598
  Epoch    5/1000 | Train Loss: 3.5447 | Val MAE Tmax: 1.8234 | Val MAE Tmin: 1.9870 | Baseline Tmax: 2.1598
  Epoch    6/1000 | Train Loss: 3.5347 | Val MAE Tmax: 1.8234 | Val MAE Tmin: 1.9851 | Baseline Tmax: 2.1598
  Epoch    7/1000 | Train Loss: 3.5288 | Val MAE Tmax: 1.8210 | Val MAE Tmin: 1.9830 | Baseline Tmax: 2.1598
  Epoch    8/1000 | Train Loss: 3.5225 | Val MAE Tmax: 1.8230 | Val MAE Tmin: 1.9801 | Baseline Tmax: 2.1598
  Epoch    9/1000 | Train Loss: 3.5172 | Val MAE Tmax: 1.8141 | Val MAE Tmin: 1.9733 | Baseline Tmax: 2.1598
  Epoch   10/1000 | Train Loss: 3.5139 | Val MAE Tmax: 1.8201 | Val MAE Tmin: 1.9728 | Baseline Tmax: 2.1598
  Epoch   11/1000 | Train Loss: 3.5079 | Val MAE Tmax: 1.8184 | Val MAE Tmin: 1.9700 | Baseline Tmax: 2.1598
  Epoch   12/1000 | Train Loss: 3.5015 | Val MAE Tmax: 1.8109 | Val MAE Tmin: 1.9707 | Baseline Tmax: 2.1598
  Epoch   13/1000 | Train Loss: 3.4978 | Val MAE Tmax: 1.8088 | Val MAE Tmin: 1.9647 | Baseline Tmax: 2.1598
  Epoch   14/1000 | Train Loss: 3.4940 | Val MAE Tmax: 1.8119 | Val MAE Tmin: 1.9678 | Baseline Tmax: 2.1598
  Epoch   15/1000 | Train Loss: 3.4908 | Val MAE Tmax: 1.8062 | Val MAE Tmin: 1.9680 | Baseline Tmax: 2.1598
  Epoch   16/1000 | Train Loss: 3.4855 | Val MAE Tmax: 1.8097 | Val MAE Tmin: 1.9681 | Baseline Tmax: 2.1598
  Epoch   17/1000 | Train Loss: 3.4826 | Val MAE Tmax: 1.8020 | Val MAE Tmin: 1.9685 | Baseline Tmax: 2.1598
  Epoch   18/1000 | Train Loss: 3.4787 | Val MAE Tmax: 1.7994 | Val MAE Tmin: 1.9681 | Baseline Tmax: 2.1598
  Epoch   19/1000 | Train Loss: 3.4765 | Val MAE Tmax: 1.8003 | Val MAE Tmin: 1.9632 | Baseline Tmax: 2.1598
  Epoch   20/1000 | Train Loss: 3.4686 | Val MAE Tmax: 1.7997 | Val MAE Tmin: 1.9680 | Baseline Tmax: 2.1598
  Epoch   21/1000 | Train Loss: 3.4702 | Val MAE Tmax: 1.7935 | Val MAE Tmin: 1.9684 | Baseline Tmax: 2.1598
  Epoch   22/1000 | Train Loss: 3.4663 | Val MAE Tmax: 1.7968 | Val MAE Tmin: 1.9605 | Baseline Tmax: 2.1598
  Epoch   23/1000 | Train Loss: 3.4650 | Val MAE Tmax: 1.7970 | Val MAE Tmin: 1.9625 | Baseline Tmax: 2.1598
  Epoch   24/1000 | Train Loss: 3.4621 | Val MAE Tmax: 1.7992 | Val MAE Tmin: 1.9685 | Baseline Tmax: 2.1598
