Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_slobo_multi_channel_channels-humidity_stability-wind-terrain_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 2.7061 | Val MAE Tmax: 1.2054 | Val MAE Tmin: 1.5039 | Baseline Tmax: 2.0997
  Epoch    2/1000 | Train Loss: 2.4468 | Val MAE Tmax: 1.1369 | Val MAE Tmin: 1.4286 | Baseline Tmax: 2.0997
  Epoch    3/1000 | Train Loss: 2.3629 | Val MAE Tmax: 1.1352 | Val MAE Tmin: 1.4163 | Baseline Tmax: 2.0997
  Epoch    4/1000 | Train Loss: 2.3101 | Val MAE Tmax: 1.0753 | Val MAE Tmin: 1.4025 | Baseline Tmax: 2.0997
  Epoch    5/1000 | Train Loss: 2.2723 | Val MAE Tmax: 1.0385 | Val MAE Tmin: 1.4046 | Baseline Tmax: 2.0997
  Epoch    6/1000 | Train Loss: 2.2533 | Val MAE Tmax: 1.0284 | Val MAE Tmin: 1.4082 | Baseline Tmax: 2.0997
  Epoch    7/1000 | Train Loss: 2.2306 | Val MAE Tmax: 1.0185 | Val MAE Tmin: 1.3754 | Baseline Tmax: 2.0997
  Epoch    8/1000 | Train Loss: 2.2171 | Val MAE Tmax: 0.9917 | Val MAE Tmin: 1.3712 | Baseline Tmax: 2.0997
  Epoch    9/1000 | Train Loss: 2.1962 | Val MAE Tmax: 0.9999 | Val MAE Tmin: 1.3512 | Baseline Tmax: 2.0997
  Epoch   10/1000 | Train Loss: 2.1902 | Val MAE Tmax: 0.9943 | Val MAE Tmin: 1.3558 | Baseline Tmax: 2.0997
  Epoch   11/1000 | Train Loss: 2.1680 | Val MAE Tmax: 1.0013 | Val MAE Tmin: 1.3613 | Baseline Tmax: 2.0997
  Epoch   12/1000 | Train Loss: 2.1610 | Val MAE Tmax: 0.9944 | Val MAE Tmin: 1.3345 | Baseline Tmax: 2.0997
  Epoch   13/1000 | Train Loss: 2.1488 | Val MAE Tmax: 0.9961 | Val MAE Tmin: 1.3400 | Baseline Tmax: 2.0997
  Epoch   14/1000 | Train Loss: 2.1408 | Val MAE Tmax: 1.0008 | Val MAE Tmin: 1.3186 | Baseline Tmax: 2.0997
  Epoch   15/1000 | Train Loss: 2.1317 | Val MAE Tmax: 1.0180 | Val MAE Tmin: 1.3119 | Baseline Tmax: 2.0997
  Epoch   16/1000 | Train Loss: 2.1225 | Val MAE Tmax: 1.0066 | Val MAE Tmin: 1.3290 | Baseline Tmax: 2.0997
  Epoch   17/1000 | Train Loss: 2.1137 | Val MAE Tmax: 0.9806 | Val MAE Tmin: 1.3162 | Baseline Tmax: 2.0997
  Epoch   18/1000 | Train Loss: 2.1074 | Val MAE Tmax: 1.0065 | Val MAE Tmin: 1.3233 | Baseline Tmax: 2.0997
  Epoch   19/1000 | Train Loss: 2.0962 | Val MAE Tmax: 0.9922 | Val MAE Tmin: 1.2956 | Baseline Tmax: 2.0997
  Epoch   20/1000 | Train Loss: 2.0979 | Val MAE Tmax: 1.0054 | Val MAE Tmin: 1.3063 | Baseline Tmax: 2.0997
  Epoch   21/1000 | Train Loss: 2.0897 | Val MAE Tmax: 0.9831 | Val MAE Tmin: 1.3145 | Baseline Tmax: 2.0997
  Epoch   22/1000 | Train Loss: 2.0804 | Val MAE Tmax: 0.9785 | Val MAE Tmin: 1.3077 | Baseline Tmax: 2.0997
  Epoch   23/1000 | Train Loss: 2.0702 | Val MAE Tmax: 1.0006 | Val MAE Tmin: 1.3143 | Baseline Tmax: 2.0997
  Epoch   24/1000 | Train Loss: 2.0697 | Val MAE Tmax: 0.9595 | Val MAE Tmin: 1.3166 | Baseline Tmax: 2.0997
  Epoch   25/1000 | Train Loss: 2.0632 | Val MAE Tmax: 0.9594 | Val MAE Tmin: 1.3102 | Baseline Tmax: 2.0997
  Epoch   26/1000 | Train Loss: 2.0610 | Val MAE Tmax: 0.9416 | Val MAE Tmin: 1.3223 | Baseline Tmax: 2.0997
  Epoch   27/1000 | Train Loss: 2.0530 | Val MAE Tmax: 0.9661 | Val MAE Tmin: 1.3275 | Baseline Tmax: 2.0997
  Epoch   28/1000 | Train Loss: 2.0537 | Val MAE Tmax: 0.9748 | Val MAE Tmin: 1.3045 | Baseline Tmax: 2.0997
  Epoch   29/1000 | Train Loss: 2.0408 | Val MAE Tmax: 0.9746 | Val MAE Tmin: 1.3017 | Baseline Tmax: 2.0997
  Epoch   30/1000 | Train Loss: 2.0419 | Val MAE Tmax: 0.9642 | Val MAE Tmin: 1.3089 | Baseline Tmax: 2.0997
  Epoch   31/1000 | Train Loss: 2.0354 | Val MAE Tmax: 0.9416 | Val MAE Tmin: 1.2885 | Baseline Tmax: 2.0997
  Epoch   32/1000 | Train Loss: 2.0287 | Val MAE Tmax: 0.9485 | Val MAE Tmin: 1.3045 | Baseline Tmax: 2.0997
  Epoch   33/1000 | Train Loss: 2.0262 | Val MAE Tmax: 0.9552 | Val MAE Tmin: 1.3015 | Baseline Tmax: 2.0997
  Epoch   34/1000 | Train Loss: 2.0246 | Val MAE Tmax: 0.9574 | Val MAE Tmin: 1.3039 | Baseline Tmax: 2.0997
  Epoch   35/1000 | Train Loss: 2.0221 | Val MAE Tmax: 0.9517 | Val MAE Tmin: 1.3057 | Baseline Tmax: 2.0997
  Epoch   36/1000 | Train Loss: 2.0176 | Val MAE Tmax: 0.9383 | Val MAE Tmin: 1.2886 | Baseline Tmax: 2.0997
  Epoch   37/1000 | Train Loss: 2.0102 | Val MAE Tmax: 0.9672 | Val MAE Tmin: 1.2799 | Baseline Tmax: 2.0997
  Epoch   38/1000 | Train Loss: 2.0069 | Val MAE Tmax: 0.9707 | Val MAE Tmin: 1.2724 | Baseline Tmax: 2.0997
  Epoch   39/1000 | Train Loss: 2.0107 | Val MAE Tmax: 0.9293 | Val MAE Tmin: 1.2740 | Baseline Tmax: 2.0997
  Epoch   40/1000 | Train Loss: 1.9996 | Val MAE Tmax: 0.9446 | Val MAE Tmin: 1.2682 | Baseline Tmax: 2.0997
  Epoch   41/1000 | Train Loss: 2.0007 | Val MAE Tmax: 0.9274 | Val MAE Tmin: 1.2509 | Baseline Tmax: 2.0997
  Epoch   42/1000 | Train Loss: 1.9931 | Val MAE Tmax: 0.9329 | Val MAE Tmin: 1.2748 | Baseline Tmax: 2.0997
  Epoch   43/1000 | Train Loss: 1.9939 | Val MAE Tmax: 0.9348 | Val MAE Tmin: 1.2583 | Baseline Tmax: 2.0997
  Epoch   44/1000 | Train Loss: 1.9913 | Val MAE Tmax: 0.9481 | Val MAE Tmin: 1.2694 | Baseline Tmax: 2.0997
  Epoch   45/1000 | Train Loss: 1.9854 | Val MAE Tmax: 0.9330 | Val MAE Tmin: 1.2557 | Baseline Tmax: 2.0997
  Epoch   46/1000 | Train Loss: 1.9830 | Val MAE Tmax: 0.9303 | Val MAE Tmin: 1.2799 | Baseline Tmax: 2.0997
  Epoch   47/1000 | Train Loss: 1.9786 | Val MAE Tmax: 0.9223 | Val MAE Tmin: 1.2769 | Baseline Tmax: 2.0997
  Epoch   48/1000 | Train Loss: 1.9763 | Val MAE Tmax: 0.9202 | Val MAE Tmin: 1.2957 | Baseline Tmax: 2.0997
  Epoch   49/1000 | Train Loss: 1.9680 | Val MAE Tmax: 0.9368 | Val MAE Tmin: 1.2581 | Baseline Tmax: 2.0997
  Epoch   50/1000 | Train Loss: 1.9752 | Val MAE Tmax: 0.9088 | Val MAE Tmin: 1.2582 | Baseline Tmax: 2.0997
  Epoch   51/1000 | Train Loss: 1.9683 | Val MAE Tmax: 0.9190 | Val MAE Tmin: 1.2658 | Baseline Tmax: 2.0997
  Epoch   52/1000 | Train Loss: 1.9596 | Val MAE Tmax: 0.9391 | Val MAE Tmin: 1.2408 | Baseline Tmax: 2.0997
  Epoch   53/1000 | Train Loss: 1.9626 | Val MAE Tmax: 0.9143 | Val MAE Tmin: 1.2547 | Baseline Tmax: 2.0997
  Epoch   54/1000 | Train Loss: 1.9544 | Val MAE Tmax: 0.9218 | Val MAE Tmin: 1.2537 | Baseline Tmax: 2.0997
  Epoch   55/1000 | Train Loss: 1.9569 | Val MAE Tmax: 0.9091 | Val MAE Tmin: 1.2687 | Baseline Tmax: 2.0997
  Epoch   56/1000 | Train Loss: 1.9570 | Val MAE Tmax: 0.9108 | Val MAE Tmin: 1.2686 | Baseline Tmax: 2.0997
  Epoch   57/1000 | Train Loss: 1.9532 | Val MAE Tmax: 0.9311 | Val MAE Tmin: 1.2810 | Baseline Tmax: 2.0997
  Epoch   58/1000 | Train Loss: 1.9497 | Val MAE Tmax: 0.9060 | Val MAE Tmin: 1.2672 | Baseline Tmax: 2.0997
  Epoch   59/1000 | Train Loss: 1.9489 | Val MAE Tmax: 0.9144 | Val MAE Tmin: 1.2545 | Baseline Tmax: 2.0997
  Epoch   60/1000 | Train Loss: 1.9424 | Val MAE Tmax: 0.9378 | Val MAE Tmin: 1.2843 | Baseline Tmax: 2.0997
  Early stopping triggered after 60 epochs (Patience=10).

============================================================
  Fold 1
============================================================
  Epoch    1/1000 | Train Loss: 2.6831 | Val MAE Tmax: 1.2268 | Val MAE Tmin: 1.3991 | Baseline Tmax: 2.0733
  Epoch    2/1000 | Train Loss: 2.4318 | Val MAE Tmax: 1.1730 | Val MAE Tmin: 1.3530 | Baseline Tmax: 2.0733
  Epoch    3/1000 | Train Loss: 2.3288 | Val MAE Tmax: 1.1557 | Val MAE Tmin: 1.3476 | Baseline Tmax: 2.0733
  Epoch    4/1000 | Train Loss: 2.2763 | Val MAE Tmax: 1.1369 | Val MAE Tmin: 1.3212 | Baseline Tmax: 2.0733
  Epoch    5/1000 | Train Loss: 2.2437 | Val MAE Tmax: 1.1053 | Val MAE Tmin: 1.3475 | Baseline Tmax: 2.0733
  Epoch    6/1000 | Train Loss: 2.2163 | Val MAE Tmax: 1.0868 | Val MAE Tmin: 1.3132 | Baseline Tmax: 2.0733
  Epoch    7/1000 | Train Loss: 2.1973 | Val MAE Tmax: 1.0819 | Val MAE Tmin: 1.3090 | Baseline Tmax: 2.0733
  Epoch    8/1000 | Train Loss: 2.1765 | Val MAE Tmax: 1.0775 | Val MAE Tmin: 1.3178 | Baseline Tmax: 2.0733
  Epoch    9/1000 | Train Loss: 2.1621 | Val MAE Tmax: 1.0670 | Val MAE Tmin: 1.3323 | Baseline Tmax: 2.0733
  Epoch   10/1000 | Train Loss: 2.1528 | Val MAE Tmax: 1.0539 | Val MAE Tmin: 1.3240 | Baseline Tmax: 2.0733
  Epoch   11/1000 | Train Loss: 2.1404 | Val MAE Tmax: 1.0533 | Val MAE Tmin: 1.3206 | Baseline Tmax: 2.0733
  Epoch   12/1000 | Train Loss: 2.1350 | Val MAE Tmax: 1.0529 | Val MAE Tmin: 1.3104 | Baseline Tmax: 2.0733
