Using device: cuda
Loading merged.csv ...
TrainVal rows: 33511 | Test rows: 8395
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 3.6898 | Val MAE Tmax: 1.9126 | Val MAE Tmin: 2.0630 | Baseline Tmax: 2.1598
  Epoch    2/1000 | Train Loss: 3.6034 | Val MAE Tmax: 1.8805 | Val MAE Tmin: 2.0176 | Baseline Tmax: 2.1598
  Epoch    3/1000 | Train Loss: 3.5713 | Val MAE Tmax: 1.8848 | Val MAE Tmin: 2.0001 | Baseline Tmax: 2.1598
  Epoch    4/1000 | Train Loss: 3.5561 | Val MAE Tmax: 1.8641 | Val MAE Tmin: 1.9954 | Baseline Tmax: 2.1598
  Epoch    5/1000 | Train Loss: 3.5417 | Val MAE Tmax: 1.8609 | Val MAE Tmin: 1.9942 | Baseline Tmax: 2.1598
  Epoch    6/1000 | Train Loss: 3.5351 | Val MAE Tmax: 1.8563 | Val MAE Tmin: 1.9898 | Baseline Tmax: 2.1598
  Epoch    7/1000 | Train Loss: 3.5251 | Val MAE Tmax: 1.8597 | Val MAE Tmin: 1.9852 | Baseline Tmax: 2.1598
  Epoch    8/1000 | Train Loss: 3.5167 | Val MAE Tmax: 1.8535 | Val MAE Tmin: 1.9881 | Baseline Tmax: 2.1598
  Epoch    9/1000 | Train Loss: 3.5121 | Val MAE Tmax: 1.8509 | Val MAE Tmin: 1.9813 | Baseline Tmax: 2.1598
  Epoch   10/1000 | Train Loss: 3.5051 | Val MAE Tmax: 1.8435 | Val MAE Tmin: 1.9737 | Baseline Tmax: 2.1598
  Epoch   11/1000 | Train Loss: 3.4981 | Val MAE Tmax: 1.8430 | Val MAE Tmin: 1.9724 | Baseline Tmax: 2.1598
  Epoch   12/1000 | Train Loss: 3.4902 | Val MAE Tmax: 1.8381 | Val MAE Tmin: 1.9685 | Baseline Tmax: 2.1598
  Epoch   13/1000 | Train Loss: 3.4847 | Val MAE Tmax: 1.8318 | Val MAE Tmin: 1.9646 | Baseline Tmax: 2.1598
  Epoch   14/1000 | Train Loss: 3.4822 | Val MAE Tmax: 1.8252 | Val MAE Tmin: 1.9619 | Baseline Tmax: 2.1598
  Epoch   15/1000 | Train Loss: 3.4767 | Val MAE Tmax: 1.8244 | Val MAE Tmin: 1.9650 | Baseline Tmax: 2.1598
  Epoch   16/1000 | Train Loss: 3.4734 | Val MAE Tmax: 1.8225 | Val MAE Tmin: 1.9630 | Baseline Tmax: 2.1598
  Epoch   17/1000 | Train Loss: 3.4701 | Val MAE Tmax: 1.8221 | Val MAE Tmin: 1.9615 | Baseline Tmax: 2.1598
  Epoch   18/1000 | Train Loss: 3.4665 | Val MAE Tmax: 1.8145 | Val MAE Tmin: 1.9689 | Baseline Tmax: 2.1598
  Epoch   19/1000 | Train Loss: 3.4626 | Val MAE Tmax: 1.8179 | Val MAE Tmin: 1.9623 | Baseline Tmax: 2.1598
  Epoch   20/1000 | Train Loss: 3.4608 | Val MAE Tmax: 1.8175 | Val MAE Tmin: 1.9581 | Baseline Tmax: 2.1598
  Epoch   21/1000 | Train Loss: 3.4587 | Val MAE Tmax: 1.8152 | Val MAE Tmin: 1.9543 | Baseline Tmax: 2.1598
  Epoch   22/1000 | Train Loss: 3.4560 | Val MAE Tmax: 1.8129 | Val MAE Tmin: 1.9650 | Baseline Tmax: 2.1598
  Epoch   23/1000 | Train Loss: 3.4521 | Val MAE Tmax: 1.8115 | Val MAE Tmin: 1.9592 | Baseline Tmax: 2.1598
  Epoch   24/1000 | Train Loss: 3.4517 | Val MAE Tmax: 1.8055 | Val MAE Tmin: 1.9564 | Baseline Tmax: 2.1598
  Epoch   25/1000 | Train Loss: 3.4476 | Val MAE Tmax: 1.8031 | Val MAE Tmin: 1.9602 | Baseline Tmax: 2.1598
  Epoch   26/1000 | Train Loss: 3.4456 | Val MAE Tmax: 1.8026 | Val MAE Tmin: 1.9620 | Baseline Tmax: 2.1598
  Epoch   27/1000 | Train Loss: 3.4426 | Val MAE Tmax: 1.8008 | Val MAE Tmin: 1.9607 | Baseline Tmax: 2.1598
  Epoch   28/1000 | Train Loss: 3.4412 | Val MAE Tmax: 1.8083 | Val MAE Tmin: 1.9640 | Baseline Tmax: 2.1598
  Epoch   29/1000 | Train Loss: 3.4366 | Val MAE Tmax: 1.7993 | Val MAE Tmin: 1.9603 | Baseline Tmax: 2.1598
  Epoch   30/1000 | Train Loss: 3.4350 | Val MAE Tmax: 1.7954 | Val MAE Tmin: 1.9626 | Baseline Tmax: 2.1598
  Epoch   31/1000 | Train Loss: 3.4369 | Val MAE Tmax: 1.7957 | Val MAE Tmin: 1.9576 | Baseline Tmax: 2.1598
  Epoch   32/1000 | Train Loss: 3.4348 | Val MAE Tmax: 1.7995 | Val MAE Tmin: 1.9591 | Baseline Tmax: 2.1598
  Epoch   33/1000 | Train Loss: 3.4322 | Val MAE Tmax: 1.8003 | Val MAE Tmin: 1.9579 | Baseline Tmax: 2.1598
  Epoch   34/1000 | Train Loss: 3.4298 | Val MAE Tmax: 1.8018 | Val MAE Tmin: 1.9594 | Baseline Tmax: 2.1598
  Epoch   35/1000 | Train Loss: 3.4266 | Val MAE Tmax: 1.7990 | Val MAE Tmin: 1.9587 | Baseline Tmax: 2.1598
  Epoch   36/1000 | Train Loss: 3.4257 | Val MAE Tmax: 1.7964 | Val MAE Tmin: 1.9667 | Baseline Tmax: 2.1598
  Epoch   37/1000 | Train Loss: 3.4198 | Val MAE Tmax: 1.7935 | Val MAE Tmin: 1.9626 | Baseline Tmax: 2.1598
  Epoch   38/1000 | Train Loss: 3.4259 | Val MAE Tmax: 1.7947 | Val MAE Tmin: 1.9610 | Baseline Tmax: 2.1598
  Epoch   39/1000 | Train Loss: 3.4222 | Val MAE Tmax: 1.7939 | Val MAE Tmin: 1.9663 | Baseline Tmax: 2.1598
  Epoch   40/1000 | Train Loss: 3.4212 | Val MAE Tmax: 1.7973 | Val MAE Tmin: 1.9672 | Baseline Tmax: 2.1598
  Epoch   41/1000 | Train Loss: 3.4191 | Val MAE Tmax: 1.7913 | Val MAE Tmin: 1.9630 | Baseline Tmax: 2.1598
  Early stopping triggered after 41 epochs (Patience=10).

============================================================
  Fold 1
============================================================
  Epoch    1/1000 | Train Loss: 3.6672 | Val MAE Tmax: 1.9099 | Val MAE Tmin: 1.9246 | Baseline Tmax: 2.1487
  Epoch    2/1000 | Train Loss: 3.5688 | Val MAE Tmax: 1.8652 | Val MAE Tmin: 1.9110 | Baseline Tmax: 2.1487
  Epoch    3/1000 | Train Loss: 3.5300 | Val MAE Tmax: 1.8713 | Val MAE Tmin: 1.9084 | Baseline Tmax: 2.1487
  Epoch    4/1000 | Train Loss: 3.5098 | Val MAE Tmax: 1.8628 | Val MAE Tmin: 1.9152 | Baseline Tmax: 2.1487
  Epoch    5/1000 | Train Loss: 3.4972 | Val MAE Tmax: 1.8476 | Val MAE Tmin: 1.9130 | Baseline Tmax: 2.1487
  Epoch    6/1000 | Train Loss: 3.4831 | Val MAE Tmax: 1.8435 | Val MAE Tmin: 1.9068 | Baseline Tmax: 2.1487
  Epoch    7/1000 | Train Loss: 3.4801 | Val MAE Tmax: 1.8368 | Val MAE Tmin: 1.9102 | Baseline Tmax: 2.1487
  Epoch    8/1000 | Train Loss: 3.4706 | Val MAE Tmax: 1.8406 | Val MAE Tmin: 1.9059 | Baseline Tmax: 2.1487
