Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_slobo_multi_channel_channels-temperature-humidity_stability-wind_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 2.6991 | Val MAE Tmax: 1.1987 | Val MAE Tmin: 1.4780 | Baseline Tmax: 2.0997
  Epoch    2/1000 | Train Loss: 2.4445 | Val MAE Tmax: 1.1267 | Val MAE Tmin: 1.4667 | Baseline Tmax: 2.0997
  Epoch    3/1000 | Train Loss: 2.3661 | Val MAE Tmax: 1.0689 | Val MAE Tmin: 1.4408 | Baseline Tmax: 2.0997
  Epoch    4/1000 | Train Loss: 2.3056 | Val MAE Tmax: 1.0759 | Val MAE Tmin: 1.3534 | Baseline Tmax: 2.0997
  Epoch    5/1000 | Train Loss: 2.2686 | Val MAE Tmax: 1.0531 | Val MAE Tmin: 1.3870 | Baseline Tmax: 2.0997
  Epoch    6/1000 | Train Loss: 2.2368 | Val MAE Tmax: 1.0485 | Val MAE Tmin: 1.3776 | Baseline Tmax: 2.0997
  Epoch    7/1000 | Train Loss: 2.2106 | Val MAE Tmax: 1.0255 | Val MAE Tmin: 1.3712 | Baseline Tmax: 2.0997
  Epoch    8/1000 | Train Loss: 2.1871 | Val MAE Tmax: 1.0295 | Val MAE Tmin: 1.3390 | Baseline Tmax: 2.0997
  Epoch    9/1000 | Train Loss: 2.1753 | Val MAE Tmax: 1.0019 | Val MAE Tmin: 1.3686 | Baseline Tmax: 2.0997
  Epoch   10/1000 | Train Loss: 2.1617 | Val MAE Tmax: 0.9933 | Val MAE Tmin: 1.3327 | Baseline Tmax: 2.0997
  Epoch   11/1000 | Train Loss: 2.1468 | Val MAE Tmax: 0.9887 | Val MAE Tmin: 1.3371 | Baseline Tmax: 2.0997
