Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_slobo_multi_channel_channels-all_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 2.6802 | Val MAE Tmax: 1.2020 | Val MAE Tmin: 1.4849 | Baseline Tmax: 2.0997
  Epoch    2/1000 | Train Loss: 2.4301 | Val MAE Tmax: 1.1805 | Val MAE Tmin: 1.4157 | Baseline Tmax: 2.0997
  Epoch    3/1000 | Train Loss: 2.3512 | Val MAE Tmax: 1.1502 | Val MAE Tmin: 1.3908 | Baseline Tmax: 2.0997
  Epoch    4/1000 | Train Loss: 2.3036 | Val MAE Tmax: 1.1185 | Val MAE Tmin: 1.4003 | Baseline Tmax: 2.0997
  Epoch    5/1000 | Train Loss: 2.2717 | Val MAE Tmax: 1.1275 | Val MAE Tmin: 1.3466 | Baseline Tmax: 2.0997
  Epoch    6/1000 | Train Loss: 2.2427 | Val MAE Tmax: 1.0778 | Val MAE Tmin: 1.3297 | Baseline Tmax: 2.0997
  Epoch    7/1000 | Train Loss: 2.2185 | Val MAE Tmax: 1.0807 | Val MAE Tmin: 1.2946 | Baseline Tmax: 2.0997
  Epoch    8/1000 | Train Loss: 2.2028 | Val MAE Tmax: 1.0722 | Val MAE Tmin: 1.2955 | Baseline Tmax: 2.0997
  Epoch    9/1000 | Train Loss: 2.1878 | Val MAE Tmax: 1.0477 | Val MAE Tmin: 1.3185 | Baseline Tmax: 2.0997
  Epoch   10/1000 | Train Loss: 2.1789 | Val MAE Tmax: 1.0624 | Val MAE Tmin: 1.3583 | Baseline Tmax: 2.0997
  Epoch   11/1000 | Train Loss: 2.1639 | Val MAE Tmax: 1.0073 | Val MAE Tmin: 1.3425 | Baseline Tmax: 2.0997
  Epoch   12/1000 | Train Loss: 2.1499 | Val MAE Tmax: 1.0272 | Val MAE Tmin: 1.3467 | Baseline Tmax: 2.0997
  Epoch   13/1000 | Train Loss: 2.1399 | Val MAE Tmax: 0.9910 | Val MAE Tmin: 1.3392 | Baseline Tmax: 2.0997
  Epoch   14/1000 | Train Loss: 2.1325 | Val MAE Tmax: 1.0140 | Val MAE Tmin: 1.3460 | Baseline Tmax: 2.0997
  Epoch   15/1000 | Train Loss: 2.1192 | Val MAE Tmax: 1.0244 | Val MAE Tmin: 1.3223 | Baseline Tmax: 2.0997
  Epoch   16/1000 | Train Loss: 2.1181 | Val MAE Tmax: 1.0459 | Val MAE Tmin: 1.3499 | Baseline Tmax: 2.0997
  Epoch   17/1000 | Train Loss: 2.1066 | Val MAE Tmax: 1.0224 | Val MAE Tmin: 1.3611 | Baseline Tmax: 2.0997
  Epoch   18/1000 | Train Loss: 2.1006 | Val MAE Tmax: 0.9971 | Val MAE Tmin: 1.3512 | Baseline Tmax: 2.0997
