Using device: cuda
Loading merged.csv ...
TrainVal rows: 33511 | Test rows: 8395
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: ST_LOBO
ST-LOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']
ST-LOBO temporal windows (T=2):
  Window 0: 2020-2021
  Window 1: 2022-2023

============================================================
  Fold s=0, t=0
============================================================
  Epoch    1/1000 | Train Loss: 3.7322 | Val MAE Tmax: 1.9044 | Val MAE Tmin: 1.9786 | Baseline Tmax: 2.1459
  Epoch    2/1000 | Train Loss: 3.6421 | Val MAE Tmax: 1.8516 | Val MAE Tmin: 1.9508 | Baseline Tmax: 2.1459
  Epoch    3/1000 | Train Loss: 3.6049 | Val MAE Tmax: 1.8470 | Val MAE Tmin: 1.9396 | Baseline Tmax: 2.1459
  Epoch    4/1000 | Train Loss: 3.5864 | Val MAE Tmax: 1.8408 | Val MAE Tmin: 1.9349 | Baseline Tmax: 2.1459
  Epoch    5/1000 | Train Loss: 3.5784 | Val MAE Tmax: 1.8405 | Val MAE Tmin: 1.9378 | Baseline Tmax: 2.1459
  Epoch    6/1000 | Train Loss: 3.5644 | Val MAE Tmax: 1.8298 | Val MAE Tmin: 1.9371 | Baseline Tmax: 2.1459
  Epoch    7/1000 | Train Loss: 3.5600 | Val MAE Tmax: 1.8283 | Val MAE Tmin: 1.9360 | Baseline Tmax: 2.1459
  Epoch    8/1000 | Train Loss: 3.5509 | Val MAE Tmax: 1.8277 | Val MAE Tmin: 1.9333 | Baseline Tmax: 2.1459
  Epoch    9/1000 | Train Loss: 3.5449 | Val MAE Tmax: 1.8258 | Val MAE Tmin: 1.9354 | Baseline Tmax: 2.1459
  Epoch   10/1000 | Train Loss: 3.5393 | Val MAE Tmax: 1.8242 | Val MAE Tmin: 1.9352 | Baseline Tmax: 2.1459
  Epoch   11/1000 | Train Loss: 3.5333 | Val MAE Tmax: 1.8176 | Val MAE Tmin: 1.9357 | Baseline Tmax: 2.1459
