Using device: cuda
RUN_STATUS: STARTED | fresh run | state=outputs/train_state/train_st_lobo_multi_channel_channels-all_years4_epochs1000_seq1_tl1_pool-attention_agg-mean_fold-1.pkl
Loading datasets/fog_ready/era5_trainable_daily.csv ...
TrainVal rows: 32384 | Test rows: 8418
Training years used: [2020, 2021, 2022, 2023]
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: ST_LOBO
ST-LOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations -> ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations -> ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations -> ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations -> ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']
ST-LOBO temporal windows (T=2):
  Window 0: 2020-2021
  Window 1: 2022-2023

============================================================
  Fold s=0, t=0
============================================================
  Epoch    1/1000 | Train Loss: 2.6684 | Val MAE Tmax: 1.1997 | Val MAE Tmin: 1.4485 | Baseline Tmax: 2.0847
  Epoch    2/1000 | Train Loss: 2.4435 | Val MAE Tmax: 1.1892 | Val MAE Tmin: 1.4058 | Baseline Tmax: 2.0847
  Epoch    3/1000 | Train Loss: 2.3614 | Val MAE Tmax: 1.1848 | Val MAE Tmin: 1.3924 | Baseline Tmax: 2.0847
  Epoch    4/1000 | Train Loss: 2.3138 | Val MAE Tmax: 1.1640 | Val MAE Tmin: 1.3781 | Baseline Tmax: 2.0847
  Epoch    5/1000 | Train Loss: 2.2817 | Val MAE Tmax: 1.1402 | Val MAE Tmin: 1.3814 | Baseline Tmax: 2.0847
  Epoch    6/1000 | Train Loss: 2.2515 | Val MAE Tmax: 1.1146 | Val MAE Tmin: 1.3628 | Baseline Tmax: 2.0847
  Epoch    7/1000 | Train Loss: 2.2310 | Val MAE Tmax: 1.1061 | Val MAE Tmin: 1.3560 | Baseline Tmax: 2.0847
  Epoch    8/1000 | Train Loss: 2.2191 | Val MAE Tmax: 1.0991 | Val MAE Tmin: 1.3177 | Baseline Tmax: 2.0847
  Epoch    9/1000 | Train Loss: 2.1923 | Val MAE Tmax: 1.0902 | Val MAE Tmin: 1.3135 | Baseline Tmax: 2.0847
  Epoch   10/1000 | Train Loss: 2.1922 | Val MAE Tmax: 1.0580 | Val MAE Tmin: 1.2922 | Baseline Tmax: 2.0847
  Epoch   11/1000 | Train Loss: 2.1800 | Val MAE Tmax: 1.0712 | Val MAE Tmin: 1.2844 | Baseline Tmax: 2.0847
