Using device: cuda
Loading comparison_all_years.csv ...
TrainVal rows: 75394 | Test rows: 8395
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 3.7512 | Val MAE Tmax: 1.9533 | Val MAE Tmin: 1.9945 | Baseline Tmax: 2.2514
  Epoch    2/1000 | Train Loss: 3.6627 | Val MAE Tmax: 1.9381 | Val MAE Tmin: 1.9726 | Baseline Tmax: 2.2514
  Epoch    3/1000 | Train Loss: 3.6278 | Val MAE Tmax: 1.9310 | Val MAE Tmin: 1.9771 | Baseline Tmax: 2.2514
  Epoch    4/1000 | Train Loss: 3.6045 | Val MAE Tmax: 1.9146 | Val MAE Tmin: 1.9781 | Baseline Tmax: 2.2514
  Epoch    5/1000 | Train Loss: 3.5873 | Val MAE Tmax: 1.9221 | Val MAE Tmin: 1.9731 | Baseline Tmax: 2.2514
  Epoch    6/1000 | Train Loss: 3.5745 | Val MAE Tmax: 1.9053 | Val MAE Tmin: 1.9808 | Baseline Tmax: 2.2514
  Epoch    7/1000 | Train Loss: 3.5653 | Val MAE Tmax: 1.8988 | Val MAE Tmin: 1.9711 | Baseline Tmax: 2.2514
  Epoch    8/1000 | Train Loss: 3.5554 | Val MAE Tmax: 1.8993 | Val MAE Tmin: 1.9768 | Baseline Tmax: 2.2514
  Epoch    9/1000 | Train Loss: 3.5476 | Val MAE Tmax: 1.9075 | Val MAE Tmin: 1.9742 | Baseline Tmax: 2.2514
  Epoch   10/1000 | Train Loss: 3.5375 | Val MAE Tmax: 1.9020 | Val MAE Tmin: 1.9783 | Baseline Tmax: 2.2514
  Epoch   11/1000 | Train Loss: 3.5331 | Val MAE Tmax: 1.9025 | Val MAE Tmin: 1.9806 | Baseline Tmax: 2.2514
  Epoch   12/1000 | Train Loss: 3.5297 | Val MAE Tmax: 1.9013 | Val MAE Tmin: 1.9793 | Baseline Tmax: 2.2514
  Epoch   13/1000 | Train Loss: 3.5252 | Val MAE Tmax: 1.8967 | Val MAE Tmin: 1.9739 | Baseline Tmax: 2.2514
  Epoch   14/1000 | Train Loss: 3.5201 | Val MAE Tmax: 1.8997 | Val MAE Tmin: 1.9726 | Baseline Tmax: 2.2514
  Epoch   15/1000 | Train Loss: 3.5187 | Val MAE Tmax: 1.9030 | Val MAE Tmin: 1.9733 | Baseline Tmax: 2.2514
  Epoch   16/1000 | Train Loss: 3.5135 | Val MAE Tmax: 1.8963 | Val MAE Tmin: 1.9728 | Baseline Tmax: 2.2514
  Epoch   17/1000 | Train Loss: 3.5135 | Val MAE Tmax: 1.8960 | Val MAE Tmin: 1.9743 | Baseline Tmax: 2.2514
  Epoch   18/1000 | Train Loss: 3.5109 | Val MAE Tmax: 1.9067 | Val MAE Tmin: 1.9718 | Baseline Tmax: 2.2514
  Epoch   19/1000 | Train Loss: 3.5098 | Val MAE Tmax: 1.9139 | Val MAE Tmin: 1.9686 | Baseline Tmax: 2.2514
  Epoch   20/1000 | Train Loss: 3.5082 | Val MAE Tmax: 1.9049 | Val MAE Tmin: 1.9675 | Baseline Tmax: 2.2514
  Epoch   21/1000 | Train Loss: 3.5068 | Val MAE Tmax: 1.9202 | Val MAE Tmin: 1.9703 | Baseline Tmax: 2.2514
  Epoch   22/1000 | Train Loss: 3.5028 | Val MAE Tmax: 1.9139 | Val MAE Tmin: 1.9701 | Baseline Tmax: 2.2514
  Epoch   23/1000 | Train Loss: 3.5025 | Val MAE Tmax: 1.9023 | Val MAE Tmin: 1.9697 | Baseline Tmax: 2.2514
  Epoch   24/1000 | Train Loss: 3.5012 | Val MAE Tmax: 1.9116 | Val MAE Tmin: 1.9720 | Baseline Tmax: 2.2514
  Epoch   25/1000 | Train Loss: 3.4986 | Val MAE Tmax: 1.9284 | Val MAE Tmin: 1.9678 | Baseline Tmax: 2.2514
  Epoch   26/1000 | Train Loss: 3.4979 | Val MAE Tmax: 1.9119 | Val MAE Tmin: 1.9669 | Baseline Tmax: 2.2514
  Epoch   27/1000 | Train Loss: 3.4940 | Val MAE Tmax: 1.9105 | Val MAE Tmin: 1.9697 | Baseline Tmax: 2.2514
  Early stopping triggered after 27 epochs (Patience=10).

============================================================
  Fold 1
============================================================
  Epoch    1/1000 | Train Loss: 3.7066 | Val MAE Tmax: 1.9425 | Val MAE Tmin: 2.0297 | Baseline Tmax: 2.2467
  Epoch    2/1000 | Train Loss: 3.6084 | Val MAE Tmax: 1.9305 | Val MAE Tmin: 2.0080 | Baseline Tmax: 2.2467
  Epoch    3/1000 | Train Loss: 3.5754 | Val MAE Tmax: 1.9355 | Val MAE Tmin: 1.9969 | Baseline Tmax: 2.2467
  Epoch    4/1000 | Train Loss: 3.5560 | Val MAE Tmax: 1.9249 | Val MAE Tmin: 1.9952 | Baseline Tmax: 2.2467
  Epoch    5/1000 | Train Loss: 3.5416 | Val MAE Tmax: 1.9508 | Val MAE Tmin: 1.9862 | Baseline Tmax: 2.2467
  Epoch    6/1000 | Train Loss: 3.5307 | Val MAE Tmax: 1.9412 | Val MAE Tmin: 1.9802 | Baseline Tmax: 2.2467
  Epoch    7/1000 | Train Loss: 3.5245 | Val MAE Tmax: 1.9382 | Val MAE Tmin: 1.9668 | Baseline Tmax: 2.2467
  Epoch    8/1000 | Train Loss: 3.5172 | Val MAE Tmax: 1.9304 | Val MAE Tmin: 1.9714 | Baseline Tmax: 2.2467
  Epoch    9/1000 | Train Loss: 3.5103 | Val MAE Tmax: 1.9166 | Val MAE Tmin: 1.9758 | Baseline Tmax: 2.2467
  Epoch   10/1000 | Train Loss: 3.5042 | Val MAE Tmax: 1.9097 | Val MAE Tmin: 1.9698 | Baseline Tmax: 2.2467
  Epoch   11/1000 | Train Loss: 3.4987 | Val MAE Tmax: 1.9230 | Val MAE Tmin: 1.9761 | Baseline Tmax: 2.2467
  Epoch   12/1000 | Train Loss: 3.4925 | Val MAE Tmax: 1.9193 | Val MAE Tmin: 1.9724 | Baseline Tmax: 2.2467
  Epoch   13/1000 | Train Loss: 3.4918 | Val MAE Tmax: 1.9132 | Val MAE Tmin: 1.9712 | Baseline Tmax: 2.2467
  Epoch   14/1000 | Train Loss: 3.4863 | Val MAE Tmax: 1.9115 | Val MAE Tmin: 1.9697 | Baseline Tmax: 2.2467
  Epoch   15/1000 | Train Loss: 3.4838 | Val MAE Tmax: 1.8947 | Val MAE Tmin: 1.9618 | Baseline Tmax: 2.2467
  Epoch   16/1000 | Train Loss: 3.4805 | Val MAE Tmax: 1.9013 | Val MAE Tmin: 1.9596 | Baseline Tmax: 2.2467
  Epoch   17/1000 | Train Loss: 3.4793 | Val MAE Tmax: 1.8981 | Val MAE Tmin: 1.9651 | Baseline Tmax: 2.2467
  Epoch   18/1000 | Train Loss: 3.4742 | Val MAE Tmax: 1.8968 | Val MAE Tmin: 1.9668 | Baseline Tmax: 2.2467
  Epoch   19/1000 | Train Loss: 3.4738 | Val MAE Tmax: 1.9022 | Val MAE Tmin: 1.9718 | Baseline Tmax: 2.2467
  Epoch   20/1000 | Train Loss: 3.4687 | Val MAE Tmax: 1.8883 | Val MAE Tmin: 1.9679 | Baseline Tmax: 2.2467
  Epoch   21/1000 | Train Loss: 3.4707 | Val MAE Tmax: 1.8964 | Val MAE Tmin: 1.9665 | Baseline Tmax: 2.2467
  Epoch   22/1000 | Train Loss: 3.4662 | Val MAE Tmax: 1.8985 | Val MAE Tmin: 1.9663 | Baseline Tmax: 2.2467
  Epoch   23/1000 | Train Loss: 3.4646 | Val MAE Tmax: 1.8944 | Val MAE Tmin: 1.9518 | Baseline Tmax: 2.2467
  Epoch   24/1000 | Train Loss: 3.4631 | Val MAE Tmax: 1.8963 | Val MAE Tmin: 1.9623 | Baseline Tmax: 2.2467
  Epoch   25/1000 | Train Loss: 3.4608 | Val MAE Tmax: 1.8981 | Val MAE Tmin: 1.9648 | Baseline Tmax: 2.2467
  Epoch   26/1000 | Train Loss: 3.4565 | Val MAE Tmax: 1.9042 | Val MAE Tmin: 1.9644 | Baseline Tmax: 2.2467
  Epoch   27/1000 | Train Loss: 3.4614 | Val MAE Tmax: 1.8905 | Val MAE Tmin: 1.9598 | Baseline Tmax: 2.2467
  Epoch   28/1000 | Train Loss: 3.4580 | Val MAE Tmax: 1.8905 | Val MAE Tmin: 1.9572 | Baseline Tmax: 2.2467
  Epoch   29/1000 | Train Loss: 3.4537 | Val MAE Tmax: 1.8980 | Val MAE Tmin: 1.9666 | Baseline Tmax: 2.2467
  Epoch   30/1000 | Train Loss: 3.4532 | Val MAE Tmax: 1.8928 | Val MAE Tmin: 1.9575 | Baseline Tmax: 2.2467
  Early stopping triggered after 30 epochs (Patience=10).

============================================================
  Fold 2
============================================================
  Epoch    1/1000 | Train Loss: 3.8694 | Val MAE Tmax: 1.7100 | Val MAE Tmin: 1.8850 | Baseline Tmax: 2.0859
  Epoch    2/1000 | Train Loss: 3.7929 | Val MAE Tmax: 1.6961 | Val MAE Tmin: 1.8858 | Baseline Tmax: 2.0859
  Epoch    3/1000 | Train Loss: 3.7734 | Val MAE Tmax: 1.6899 | Val MAE Tmin: 1.8909 | Baseline Tmax: 2.0859
  Epoch    4/1000 | Train Loss: 3.7624 | Val MAE Tmax: 1.6815 | Val MAE Tmin: 1.8931 | Baseline Tmax: 2.0859
