Using device: cuda
Loading comparison_all_years.csv ...
TrainVal rows: 75394 | Test rows: 8395
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: RANDOM
Random Block splits (K=4):
  Block 0: 6 stations → ['0-20000-0-06260', '0-20000-0-06269', '0-20000-0-06273', '0-20000-0-06286', '0-20000-0-06310', '0-20000-0-06330']
  Block 1: 6 stations → ['0-20000-0-06240', '0-20000-0-06270', '0-20000-0-06275', '0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06344']
  Block 2: 6 stations → ['0-20000-0-06280', '0-20000-0-06320', '0-20000-0-06348', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06380']
  Block 3: 5 stations → ['0-20000-0-06235', '0-20000-0-06283', '0-20000-0-06290', '0-20000-0-06350', '0-20000-0-06375']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 3.8617 | Val MAE Tmax: 1.8297 | Val MAE Tmin: 1.7884 | Baseline Tmax: 2.1457
  Epoch    2/1000 | Train Loss: 3.7610 | Val MAE Tmax: 1.8124 | Val MAE Tmin: 1.7728 | Baseline Tmax: 2.1457
  Epoch    3/1000 | Train Loss: 3.7385 | Val MAE Tmax: 1.8021 | Val MAE Tmin: 1.8054 | Baseline Tmax: 2.1457
  Epoch    4/1000 | Train Loss: 3.7205 | Val MAE Tmax: 1.8087 | Val MAE Tmin: 1.8269 | Baseline Tmax: 2.1457
  Epoch    5/1000 | Train Loss: 3.7054 | Val MAE Tmax: 1.7907 | Val MAE Tmin: 1.8047 | Baseline Tmax: 2.1457
  Epoch    6/1000 | Train Loss: 3.6967 | Val MAE Tmax: 1.7782 | Val MAE Tmin: 1.8078 | Baseline Tmax: 2.1457
  Epoch    7/1000 | Train Loss: 3.6939 | Val MAE Tmax: 1.7979 | Val MAE Tmin: 1.8061 | Baseline Tmax: 2.1457
  Epoch    8/1000 | Train Loss: 3.6856 | Val MAE Tmax: 1.8089 | Val MAE Tmin: 1.8145 | Baseline Tmax: 2.1457
  Epoch    9/1000 | Train Loss: 3.6820 | Val MAE Tmax: 1.7865 | Val MAE Tmin: 1.8141 | Baseline Tmax: 2.1457
  Epoch   10/1000 | Train Loss: 3.6774 | Val MAE Tmax: 1.8058 | Val MAE Tmin: 1.8115 | Baseline Tmax: 2.1457
  Epoch   11/1000 | Train Loss: 3.6759 | Val MAE Tmax: 1.7894 | Val MAE Tmin: 1.8021 | Baseline Tmax: 2.1457
  Epoch   12/1000 | Train Loss: 3.6674 | Val MAE Tmax: 1.7746 | Val MAE Tmin: 1.7873 | Baseline Tmax: 2.1457
  Epoch   13/1000 | Train Loss: 3.6718 | Val MAE Tmax: 1.7846 | Val MAE Tmin: 1.7773 | Baseline Tmax: 2.1457
  Epoch   14/1000 | Train Loss: 3.6638 | Val MAE Tmax: 1.7724 | Val MAE Tmin: 1.7730 | Baseline Tmax: 2.1457
  Epoch   15/1000 | Train Loss: 3.6630 | Val MAE Tmax: 1.7746 | Val MAE Tmin: 1.7847 | Baseline Tmax: 2.1457
  Epoch   16/1000 | Train Loss: 3.6610 | Val MAE Tmax: 1.7799 | Val MAE Tmin: 1.7778 | Baseline Tmax: 2.1457
  Epoch   17/1000 | Train Loss: 3.6575 | Val MAE Tmax: 1.7818 | Val MAE Tmin: 1.7744 | Baseline Tmax: 2.1457
  Epoch   18/1000 | Train Loss: 3.6558 | Val MAE Tmax: 1.7717 | Val MAE Tmin: 1.7700 | Baseline Tmax: 2.1457
  Epoch   19/1000 | Train Loss: 3.6518 | Val MAE Tmax: 1.7673 | Val MAE Tmin: 1.7761 | Baseline Tmax: 2.1457
  Epoch   20/1000 | Train Loss: 3.6502 | Val MAE Tmax: 1.7661 | Val MAE Tmin: 1.7817 | Baseline Tmax: 2.1457
  Epoch   21/1000 | Train Loss: 3.6508 | Val MAE Tmax: 1.7655 | Val MAE Tmin: 1.7746 | Baseline Tmax: 2.1457
  Epoch   22/1000 | Train Loss: 3.6471 | Val MAE Tmax: 1.7674 | Val MAE Tmin: 1.7763 | Baseline Tmax: 2.1457
  Epoch   23/1000 | Train Loss: 3.6454 | Val MAE Tmax: 1.7661 | Val MAE Tmin: 1.7726 | Baseline Tmax: 2.1457
  Epoch   24/1000 | Train Loss: 3.6432 | Val MAE Tmax: 1.7605 | Val MAE Tmin: 1.7803 | Baseline Tmax: 2.1457
  Epoch   25/1000 | Train Loss: 3.6448 | Val MAE Tmax: 1.7562 | Val MAE Tmin: 1.7651 | Baseline Tmax: 2.1457
  Epoch   26/1000 | Train Loss: 3.6423 | Val MAE Tmax: 1.7588 | Val MAE Tmin: 1.7654 | Baseline Tmax: 2.1457
  Epoch   27/1000 | Train Loss: 3.6400 | Val MAE Tmax: 1.7727 | Val MAE Tmin: 1.7773 | Baseline Tmax: 2.1457
  Epoch   28/1000 | Train Loss: 3.6361 | Val MAE Tmax: 1.7667 | Val MAE Tmin: 1.7792 | Baseline Tmax: 2.1457
  Epoch   29/1000 | Train Loss: 3.6398 | Val MAE Tmax: 1.7639 | Val MAE Tmin: 1.7723 | Baseline Tmax: 2.1457
  Epoch   30/1000 | Train Loss: 3.6331 | Val MAE Tmax: 1.7634 | Val MAE Tmin: 1.7777 | Baseline Tmax: 2.1457
  Epoch   31/1000 | Train Loss: 3.6327 | Val MAE Tmax: 1.7631 | Val MAE Tmin: 1.7697 | Baseline Tmax: 2.1457
  Epoch   32/1000 | Train Loss: 3.6341 | Val MAE Tmax: 1.7557 | Val MAE Tmin: 1.7725 | Baseline Tmax: 2.1457
  Epoch   33/1000 | Train Loss: 3.6281 | Val MAE Tmax: 1.7552 | Val MAE Tmin: 1.7679 | Baseline Tmax: 2.1457
  Epoch   34/1000 | Train Loss: 3.6292 | Val MAE Tmax: 1.7567 | Val MAE Tmin: 1.7806 | Baseline Tmax: 2.1457
