Using device: cuda
Loading comparison_all_years.csv ...
TrainVal rows: 75394 | Test rows: 8395
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: SLOBO
SLOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']

============================================================
  Fold 0
============================================================
  Epoch    1/1000 | Train Loss: 3.6877 | Val MAE Tmax: 1.9365 | Val MAE Tmin: 1.9893 | Baseline Tmax: 2.2514
  Epoch    2/1000 | Train Loss: 3.6069 | Val MAE Tmax: 1.9359 | Val MAE Tmin: 1.9961 | Baseline Tmax: 2.2514
  Epoch    3/1000 | Train Loss: 3.5807 | Val MAE Tmax: 1.9291 | Val MAE Tmin: 2.0044 | Baseline Tmax: 2.2514
  Epoch    4/1000 | Train Loss: 3.5653 | Val MAE Tmax: 1.9163 | Val MAE Tmin: 1.9967 | Baseline Tmax: 2.2514
  Epoch    5/1000 | Train Loss: 3.5502 | Val MAE Tmax: 1.9145 | Val MAE Tmin: 2.0083 | Baseline Tmax: 2.2514
  Epoch    6/1000 | Train Loss: 3.5453 | Val MAE Tmax: 1.9033 | Val MAE Tmin: 1.9747 | Baseline Tmax: 2.2514
  Epoch    7/1000 | Train Loss: 3.5384 | Val MAE Tmax: 1.9146 | Val MAE Tmin: 1.9927 | Baseline Tmax: 2.2514
  Epoch    8/1000 | Train Loss: 3.5310 | Val MAE Tmax: 1.9024 | Val MAE Tmin: 2.0052 | Baseline Tmax: 2.2514
  Epoch    9/1000 | Train Loss: 3.5205 | Val MAE Tmax: 1.8993 | Val MAE Tmin: 2.0009 | Baseline Tmax: 2.2514
  Epoch   10/1000 | Train Loss: 3.5174 | Val MAE Tmax: 1.9019 | Val MAE Tmin: 1.9841 | Baseline Tmax: 2.2514
  Epoch   11/1000 | Train Loss: 3.5161 | Val MAE Tmax: 1.8916 | Val MAE Tmin: 1.9822 | Baseline Tmax: 2.2514
  Epoch   12/1000 | Train Loss: 3.5098 | Val MAE Tmax: 1.8973 | Val MAE Tmin: 1.9743 | Baseline Tmax: 2.2514
  Epoch   13/1000 | Train Loss: 3.5058 | Val MAE Tmax: 1.8834 | Val MAE Tmin: 1.9802 | Baseline Tmax: 2.2514
  Epoch   14/1000 | Train Loss: 3.5063 | Val MAE Tmax: 1.8801 | Val MAE Tmin: 1.9764 | Baseline Tmax: 2.2514
