Using device: cuda
Loading comparison_all_years.csv ...
TrainVal rows: 75394 | Test rows: 8395
Graph: 23 nodes, 69 edges (k=3)
Cross-Validation Mode: ST_LOBO
ST-LOBO spatial blocks (K=4, random_state=42):
  Block 0: 6 stations → ['0-20000-0-06278', '0-20000-0-06279', '0-20000-0-06280', '0-20000-0-06283', '0-20000-0-06286', '0-20000-0-06290']
  Block 1: 9 stations → ['0-20000-0-06240', '0-20000-0-06260', '0-20000-0-06275', '0-20000-0-06348', '0-20000-0-06350', '0-20000-0-06356', '0-20000-0-06370', '0-20000-0-06375', '0-20000-0-06380']
  Block 2: 4 stations → ['0-20000-0-06235', '0-20000-0-06269', '0-20000-0-06270', '0-20000-0-06273']
  Block 3: 4 stations → ['0-20000-0-06310', '0-20000-0-06320', '0-20000-0-06330', '0-20000-0-06344']
ST-LOBO temporal windows (T=2):
  Window 0: 2015-2018
  Window 1: 2019-2023

============================================================
  Fold s=0, t=0
============================================================
  Epoch    1/1000 | Train Loss: 3.7472 | Val MAE Tmax: 1.9655 | Val MAE Tmin: 1.9720 | Baseline Tmax: 2.2922
  Epoch    2/1000 | Train Loss: 3.6608 | Val MAE Tmax: 1.9867 | Val MAE Tmin: 1.9604 | Baseline Tmax: 2.2922
  Epoch    3/1000 | Train Loss: 3.6340 | Val MAE Tmax: 1.9586 | Val MAE Tmin: 1.9482 | Baseline Tmax: 2.2922
  Epoch    4/1000 | Train Loss: 3.6214 | Val MAE Tmax: 1.9482 | Val MAE Tmin: 1.9596 | Baseline Tmax: 2.2922
  Epoch    5/1000 | Train Loss: 3.6119 | Val MAE Tmax: 1.9606 | Val MAE Tmin: 1.9539 | Baseline Tmax: 2.2922
  Epoch    6/1000 | Train Loss: 3.6036 | Val MAE Tmax: 1.9490 | Val MAE Tmin: 1.9533 | Baseline Tmax: 2.2922
  Epoch    7/1000 | Train Loss: 3.5946 | Val MAE Tmax: 1.9474 | Val MAE Tmin: 1.9559 | Baseline Tmax: 2.2922
  Epoch    8/1000 | Train Loss: 3.5871 | Val MAE Tmax: 1.9456 | Val MAE Tmin: 1.9463 | Baseline Tmax: 2.2922
  Epoch    9/1000 | Train Loss: 3.5802 | Val MAE Tmax: 1.9484 | Val MAE Tmin: 1.9487 | Baseline Tmax: 2.2922
  Epoch   10/1000 | Train Loss: 3.5758 | Val MAE Tmax: 1.9480 | Val MAE Tmin: 1.9414 | Baseline Tmax: 2.2922
  Epoch   11/1000 | Train Loss: 3.5742 | Val MAE Tmax: 1.9387 | Val MAE Tmin: 1.9416 | Baseline Tmax: 2.2922
  Epoch   12/1000 | Train Loss: 3.5704 | Val MAE Tmax: 1.9358 | Val MAE Tmin: 1.9445 | Baseline Tmax: 2.2922
  Epoch   13/1000 | Train Loss: 3.5650 | Val MAE Tmax: 1.9409 | Val MAE Tmin: 1.9411 | Baseline Tmax: 2.2922
  Epoch   14/1000 | Train Loss: 3.5625 | Val MAE Tmax: 1.9368 | Val MAE Tmin: 1.9397 | Baseline Tmax: 2.2922
  Epoch   15/1000 | Train Loss: 3.5604 | Val MAE Tmax: 1.9389 | Val MAE Tmin: 1.9378 | Baseline Tmax: 2.2922
  Epoch   16/1000 | Train Loss: 3.5580 | Val MAE Tmax: 1.9300 | Val MAE Tmin: 1.9387 | Baseline Tmax: 2.2922
  Epoch   17/1000 | Train Loss: 3.5561 | Val MAE Tmax: 1.9331 | Val MAE Tmin: 1.9407 | Baseline Tmax: 2.2922
  Epoch   18/1000 | Train Loss: 3.5524 | Val MAE Tmax: 1.9268 | Val MAE Tmin: 1.9416 | Baseline Tmax: 2.2922
